Throughput,Latency
8896,5.84
8502,6.07
8621,6.07
8740,5.94
9073,5.71
8257,6.31
9107,5.67
8270,6.32
8266,6.28
8420,6.18
8260,6.29
7652,6.51
155,265.08
51,629.59
3744,22.51
8075,6.44
8406,6.18
5592,7.93
1139,52.09
9086,5.74
710,55.55
53,724.99
83,632.21
71,762.47
51,1153.95
51,809.77
51,934.5
56,868.12
5549,14.87
9789,5.31
7401,5.05
347,169.38
731,67.66
1818,34.22
5673,6.97
5436,11.36
3574,15.28
6655,7.8
103,420.47
5224,11.58
9653,5.35
8955,5.82
7296,6.32
83,505.86
6713,10.07
9526,5.45
9300,5.59
9794,5.3
8544,6.09
9769,5.3
9490,5.49
8968,5.79
9505,5.47
8617,6.03
8846,5.88
9265,5.61
9615,5.4
9036,5.74
8550,6.07
8288,6.26
8803,5.9
8801,5.9
9177,5.66
8704,5.95
7931,6.57
8542,6.08
8211,6.32
9096,5.72
9123,5.69
8767,5.92
9398,5.52
8167,6.35
8336,6.25
8504,6.1
8643,6.0
9112,5.71
8394,6.18
9067,5.73
7582,6.86
8396,6.18
