Throughput,Latency
3750,16.99
3830,16.64
3747,16.97
3917,16.57
3776,16.82
3811,16.76
3724,17.09
3880,16.64
3821,16.74
3864,16.34
3768,17.04
3842,16.72
3806,16.89
3813,16.68
3850,16.59
3914,16.54
3817,16.63
3855,16.6
3870,16.4
3796,17.11
3656,17.44
3820,16.62
3861,16.55
3863,16.47
3735,17.3
3831,16.7
3832,16.58
3935,16.49
3931,16.21
3843,16.59
3800,16.82
3808,16.94
3810,16.7
3787,16.77
3801,17.03
3776,16.95
3733,17.07
3783,16.81
3845,16.85
3781,16.87
3644,17.49
3878,16.36
3934,16.53
3660,17.39
3725,17.14
3762,16.92
3969,16.32
3710,17.18
3779,16.85
3835,16.62
3961,16.33
3842,16.52
3884,16.48
3925,16.21
3890,16.66
3792,16.76
3779,16.91
3869,16.44
3880,16.7
3770,16.9
3890,16.31
3727,17.17
3802,17.02
3821,16.64
3900,16.39
3767,16.76
3924,16.64
3860,16.51
3713,17.09
3781,16.92
3797,17.06
3744,17.02
3914,16.28
3794,16.93
3756,17.02
3786,16.84
3817,16.76
3736,17.17
3919,16.41
3711,17.19
