Throughput,Latency
9346,2.57
9168,2.61
7898,3.03
9244,2.58
9289,2.58
9122,2.61
9199,2.6
8460,2.81
7028,3.42
9089,2.61
9269,2.59
7885,2.64
9133,2.94
9372,2.56
9121,2.62
9219,2.6
9127,2.6
9543,2.5
9455,2.53
8979,2.66
9220,2.59
9451,2.53
9266,2.59
9524,2.52
9564,2.48
9209,2.59
9357,2.57
7593,3.13
9243,2.6
9258,2.59
9050,2.63
9621,2.47
9538,2.52
9418,2.52
8988,2.67
9360,2.55
9516,2.5
9109,2.63
9263,2.58
8225,2.91
9531,2.51
9188,2.58
10655,2.25
10847,2.21
9786,2.45
9369,2.54
10870,2.21
7808,2.7
7339,3.43
10199,2.5
10554,2.26
9362,2.58
7393,3.24
9397,2.55
8586,2.79
9749,2.44
10654,2.26
10183,2.35
10553,2.27
9658,2.48
10915,2.19
10124,2.37
10946,2.19
11049,2.17
10798,2.2
9269,2.6
9451,2.52
9852,2.43
10190,2.35
10121,2.37
10573,2.27
10558,2.26
10756,2.24
10524,2.28
10737,2.23
10843,2.21
10078,2.36
10391,2.32
10318,2.3
9007,2.68
