Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1649.275,74.4162046801,24.292125,1.20098661314
1,1,2,1725.1,109.357803169,23.2635,1.48997757183
1,1,Total,3374.375,128.186214923,23.7778125,0.932243395905
1,2,1,1665.2,75.160991768,24.060875,1.16571724403
1,2,2,1753.625,117.847614005,22.8985,1.55269475837
1,2,Total,3418.825,132.446289568,23.4796875,0.9215868757
1,3,1,1629.875,73.5992183159,24.58425,1.25634065263
1,3,2,1690.15,115.029341331,23.757875,1.58604012412
1,3,Total,3320.025,128.420095336,24.1710625,0.948650505115
1,Total,Total,10113.225,361.933205076,23.8095208333,0.854773482868
2,1,1,1662.025,63.8881488981,24.089875,0.954088462515
2,1,2,1667.8625,84.3141719322,24.029625,1.21404798745
2,1,Total,3329.8875,100.721950111,24.05975,0.742894995732
2,2,1,1675.55,63.2365260577,23.894,0.921764406046
2,2,2,1695.575,84.1935345844,23.638125,1.21643294024
2,2,Total,3371.125,101.195308717,23.7660625,0.724832016222
2,3,1,1640.6875,61.8654304708,24.401125,0.937713342814
2,3,2,1633.4125,82.1540223366,24.534375,1.25947934164
2,3,Total,3274.1,101.037729511,24.46775,0.765883249522
2,Total,Total,9975.1125,284.343302657,24.0978541667,0.701876137276
3,1,1,1607.7,142.157552104,25.217,4.19545456266
3,1,2,1785.85,99.6981647305,22.4555,1.26462672734
3,1,Total,3393.55,166.739765404,23.83625,2.13545958946
3,2,1,1621.3625,155.458427326,25.3365,7.69011614536
3,2,2,1812.9125,103.749356411,22.12675,1.33370595795
3,2,Total,3434.275,173.421778595,23.731625,3.81674912828
3,3,1,1589.5625,137.987785531,25.619125,5.98894090376
3,3,2,1752.7125,101.394978248,22.884625,1.37818073418
3,3,Total,3342.275,160.136490437,24.251875,2.98574920893
3,Total,Total,10170.1,481.486558825,23.9399166667,2.94062938645
Total,Total,Total,10086.1458333,232.104212031,23.9490972222,1.07831029725
