GET_AND_MULTIGETS
Histograms



"sharded: true, clients"
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.7999999999999999,0.0
0.8999999999999999,0.0
0.9999999999999999,0.0
1.0999999999999999,0.0
1.2,0.0
1.3,0.0
1.4000000000000001,0.0
1.5000000000000002,0.0
1.6000000000000003,0.0
1.7000000000000004,0.0
1.8000000000000005,0.0
1.9000000000000006,0.0
2.0000000000000004,0.00555555555556
2.1000000000000005,0.142222222222
2.2000000000000006,0.700555555556
2.3000000000000007,1.69833333333
2.400000000000001,2.93444444444
2.500000000000001,4.12333333333
2.600000000000001,5.02555555556
2.700000000000001,5.72388888889
2.800000000000001,5.87555555556
2.9000000000000012,5.935
3.0000000000000013,5.88
3.1000000000000014,5.95611111111
3.2000000000000015,6.00611111111
3.3000000000000016,5.93388888889
3.4000000000000017,5.67388888889
3.5000000000000018,5.285
3.600000000000002,4.63944444444
3.700000000000002,3.97555555556
3.800000000000002,3.30277777778
3.900000000000002,2.73555555556
4.000000000000002,2.15
4.100000000000001,1.73111111111
4.200000000000001,1.35055555556
4.300000000000001,1.11722222222
4.4,0.91
4.5,0.779444444444
4.6,0.656111111111
4.699999999999999,0.584444444444
4.799999999999999,0.539444444444
4.899999999999999,0.467777777778
4.999999999999998,0.434444444444
5.099999999999998,0.401111111111
5.1999999999999975,0.363333333333
5.299999999999997,0.349444444444
5.399999999999997,0.310555555556
5.4999999999999964,0.297777777778
5.599999999999996,0.254444444444
5.699999999999996,0.25
5.799999999999995,0.230555555556
5.899999999999995,0.224444444444
5.999999999999995,0.226111111111
6.099999999999994,0.205
6.199999999999994,0.198333333333
6.299999999999994,0.186666666667
6.399999999999993,0.188333333333
6.499999999999993,0.179444444444
6.5999999999999925,0.183888888889
6.699999999999992,0.16
6.799999999999992,0.160555555556
6.8999999999999915,3.35666666667


"sharded: true, middlewares"
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.7999999999999999,0.0
0.8999999999999999,0.0
0.9999999999999999,0.0
1.0999999999999999,0.0
1.2,0.0
1.3,0.0
1.4000000000000001,0.0
1.5000000000000002,0.0
1.6000000000000003,0.0
1.7000000000000004,0.121666666667
1.8000000000000005,2.71166666667
1.9000000000000006,7.345
2.0000000000000004,9.03833333333
2.1000000000000005,8.76833333333
2.2000000000000006,9.44
2.3000000000000007,10.3183333333
2.400000000000001,10.2416666667
2.500000000000001,8.9
2.600000000000001,7.13833333333
2.700000000000001,5.33833333333
2.800000000000001,3.85
2.9000000000000012,2.785
3.0000000000000013,2.00666666667
3.1000000000000014,1.48
3.2000000000000015,1.10166666667
3.3000000000000016,0.861666666667
3.4000000000000017,0.681666666667
3.5000000000000018,0.581666666667
3.600000000000002,0.518333333333
3.700000000000002,0.436666666667
3.800000000000002,0.39
3.900000000000002,0.373333333333
4.000000000000002,0.34
4.100000000000001,0.3
4.200000000000001,0.27
4.300000000000001,0.248333333333
4.4,0.251666666667
4.5,0.231666666667
4.6,0.226666666667
4.699999999999999,0.208333333333
4.799999999999999,0.196666666667
4.899999999999999,0.188333333333
4.999999999999998,0.165
5.099999999999998,0.17
5.1999999999999975,0.161666666667
5.299999999999997,0.143333333333
5.399999999999997,0.121666666667
5.4999999999999964,0.116666666667
5.599999999999996,0.12
5.699999999999996,0.115
5.799999999999995,0.116666666667
5.899999999999995,0.106666666667
5.999999999999995,0.1
6.099999999999994,0.0966666666667
6.199999999999994,0.095
6.299999999999994,0.0983333333333
6.399999999999993,0.085
6.499999999999993,0.0816666666667
6.5999999999999925,0.0716666666667
6.699999999999992,0.0716666666667
6.799999999999992,0.06
6.8999999999999915,1.01333333333


"sharded: false, clients"
0.4,0.0
0.5,0.0
0.6,0.000555555555556
0.7,0.0333333333333
0.7999999999999999,0.323333333333
0.8999999999999999,0.485555555556
0.9999999999999999,1.54611111111
1.0999999999999999,2.30388888889
1.2,2.88166666667
1.3,3.16277777778
1.4000000000000001,3.31888888889
1.5000000000000002,3.235
1.6000000000000003,3.07222222222
1.7000000000000004,2.65722222222
1.8000000000000005,2.12333333333
1.9000000000000006,1.57833333333
2.0000000000000004,1.17333333333
2.1000000000000005,1.20166666667
2.2000000000000006,1.81055555556
2.3000000000000007,2.67833333333
2.400000000000001,3.51944444444
2.500000000000001,3.98166666667
2.600000000000001,4.12444444444
2.700000000000001,4.19666666667
2.800000000000001,4.32222222222
2.9000000000000012,4.71166666667
3.0000000000000013,4.91722222222
3.1000000000000014,4.93055555556
3.2000000000000015,4.56277777778
3.3000000000000016,3.92444444444
3.4000000000000017,3.22333333333
3.5000000000000018,2.58444444444
3.600000000000002,2.035
3.700000000000002,1.60444444444
3.800000000000002,1.26833333333
3.900000000000002,1.04611111111
4.000000000000002,0.836666666667
4.100000000000001,0.703333333333
4.200000000000001,0.589444444444
4.300000000000001,0.496111111111
4.4,0.433888888889
4.5,0.376111111111
4.6,0.348888888889
4.699999999999999,0.328333333333
4.799999999999999,0.307777777778
4.899999999999999,0.276111111111
4.999999999999998,0.278888888889
5.099999999999998,0.261111111111
5.1999999999999975,0.266666666667
5.299999999999997,0.233888888889
5.399999999999997,0.228888888889
5.4999999999999964,0.218888888889
5.599999999999996,0.199444444444
5.699999999999996,0.198333333333
5.799999999999995,0.183888888889
5.899999999999995,0.172777777778
5.999999999999995,0.169444444444
6.099999999999994,0.165
6.199999999999994,0.16
6.299999999999994,0.158888888889
6.399999999999993,0.166666666667
6.499999999999993,0.163333333333
6.5999999999999925,0.169444444444
6.699999999999992,0.175
