Operation,Sharded,Workers,Clients,Machine type,Average CPU usage,Std CPU usage,Average Network receive,Std Network receive,Average Network write,Std Network write
0:1,true,64,2,mw,6.46875,0.42021171243,3000500.0,58004.1950081,3123275.0,59553.5375915
0:1,true,64,2,client,8.9,0.263174508651,1862254.16667,34351.8613894,139044.444444,2557.08998146
0:1,true,64,2,server,9.50138888889,0.5006617749,220793.055556,3756.9852117,1861866.66667,36413.9413015
0:1,false,64,2,mw,6.57291666667,0.429931265563,2962872.91667,53526.4846557,3085372.91667,54989.1259149
0:1,false,64,2,client,8.77916666667,0.289145050337,1837406.94444,28160.7520414,137297.222222,2084.9122006
0:1,false,64,2,server,9.42222222222,0.486543408342,218806.944444,3570.19418648,1837488.88889,33650.7651612
0:3,true,64,2,mw,7.6625,0.486075445748,6157847.91667,152571.717,6341318.75,143838.862203
0:3,true,64,2,client,6.96805555556,0.286266224527,3891538.88889,76024.5395524,203425.0,3943.72727776
0:3,true,64,2,server,12.0138888889,0.491329733495,337119.444444,2754.06332945,3903345.83333,92074.2055074
0:3,false,64,2,mw,8.12291666667,0.447483784053,7691033.33333,148213.485457,7848543.75,149812.07108
0:3,false,64,2,client,9.4,0.317042119566,4874109.72222,98127.2021531,254790.277778,5140.89632741
0:3,false,64,2,server,11.5638888889,0.532657506638,359805.555556,6326.49469166,4874661.11111,99112.5804827
0:6,true,64,2,mw,8.91875,0.478065833258,11031427.0833,212964.778959,11349064.5833,239831.358492
0:6,true,64,2,client,8.03611111111,0.32587770815,7206561.11111,128086.383157,241087.5,4285.98291581
0:6,true,64,2,server,14.8055555556,0.574909030901,529519.444444,10211.5729859,7290608.33333,142893.162891
0:6,false,64,2,mw,8.85416666667,0.383718390352,13287500.0,285583.026912,13543750.0,323422.004893
0:6,false,64,2,client,9.95,0.339096913396,8771258.33333,162931.752539,290826.388889,5270.63603705
0:6,false,64,2,server,13.0125,0.561569071306,481772.222222,8631.63064917,8772256.94444,198557.143903
0:9,true,64,2,mw,9.74375,0.539536545142,15466666.6667,340017.373594,15789583.3333,348538.994059
0:9,true,64,2,client,9.00555555556,0.318664583437,10037376.3889,159820.947529,280829.166667,4777.0072237
0:9,true,64,2,server,16.8041666667,0.704337409288,626868.055556,10732.2627577,10013391.6667,170614.259358
0:9,false,64,2,mw,9.53541666667,0.371916530644,17739583.3333,342535.172771,18095833.3333,376689.816696
0:9,false,64,2,client,10.2805555556,0.349569422375,11505187.5,246033.722212,327927.777778,8987.01290753
0:9,false,64,2,server,13.8319444444,0.51844965553,571980.555556,7522.09383142,11513888.8889,272953.894867
