Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1934.4625,96.7056009727,12.427625,0.638707642456
1,1,2,2342.3,135.357884743,10.274875,0.65054406393
1,1,Total,4276.7625,169.10024319,11.35125,0.456919030026
1,2,1,1969.7625,93.8811858519,12.204375,0.621873127502
1,2,2,2424.7125,121.768008701,9.914875,0.529229183323
1,2,Total,4394.475,149.434798025,11.059625,0.409363333248
1,3,1,1868.75,90.7605697021,12.861875,0.649018916363
1,3,2,2203.2,118.456144745,10.91925,0.680282471115
1,3,Total,4071.95,149.226011579,11.8905625,0.463730739305
1,Total,Total,12743.1875,434.677476645,11.4338125,0.411086019531
2,1,1,1974.575,79.1519568835,12.164875,0.490218225108
2,1,2,2306.0,99.9949365807,10.41775,0.490863292732
2,1,Total,4280.575,137.660357586,11.2913125,0.344891052097
2,2,1,2006.4,89.24601186,11.976875,0.539553481001
2,2,2,2389.5,97.4493701716,10.053,0.420630629629
2,2,Total,4395.9,141.105095944,11.0149375,0.36404417397
2,3,1,1926.35,79.4476342145,12.46975,0.526076894317
2,3,2,2181.0125,91.4820994803,11.01425,0.479276287222
2,3,Total,4107.3625,116.580525085,11.742,0.341175926258
2,Total,Total,12783.8375,357.477464767,11.3494166667,0.315003527317
3,1,1,1984.475,74.2568199996,12.10025,0.449401782401
3,1,2,2289.9875,79.5233416494,10.486375,0.376533972277
3,1,Total,4274.4625,114.171638917,11.2933125,0.306657091869
3,2,1,2015.0625,78.7981468249,11.920125,0.46461769707
3,2,2,2367.325,84.3080210008,10.143625,0.374159797142
3,2,Total,4382.3875,128.037919003,11.031875,0.328887052098
3,3,1,1933.5625,75.0123776706,12.421125,0.486188986931
3,3,2,2163.8,75.7412985352,11.096625,0.408048593997
3,3,Total,4097.3625,110.529936806,11.758875,0.326792985028
3,Total,Total,12754.2125,308.686383545,11.3613541667,0.284195275389
Total,Total,Total,12760.4125,194.897284381,11.3815277778,0.183677818536
