Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,2120.625,57.7185170911,30.19075,0.829986693503
1,1,Total,2120.625,57.7185170911,30.19075,0.829986693503
1,2,1,2136.75,65.963453633,29.9665,0.933579066506
1,2,Total,2136.75,65.963453633,29.9665,0.933579066506
1,3,1,2104.3125,69.5893185733,30.432625,1.01479154653
1,3,Total,2104.3125,69.5893185733,30.432625,1.01479154653
1,Total,Total,6361.6875,179.561815015,30.196625,0.863076708475
2,1,1,2093.15,85.4998852616,30.6125,1.32464420826
2,1,Total,2093.15,85.4998852616,30.6125,1.32464420826
2,2,1,2109.3,81.3650004064,30.380625,1.29612894318
2,2,Total,2109.3,81.3650004064,30.380625,1.29612894318
2,3,1,2084.4375,79.5081149827,30.7255,1.09401929958
2,3,Total,2084.4375,79.5081149827,30.7255,1.09401929958
2,Total,Total,6286.8875,216.729837878,30.572875,1.16532240141
3,1,1,2132.4,70.0584927404,30.030625,1.0055382635
3,1,Total,2132.4,70.0584927404,30.030625,1.0055382635
3,2,1,2146.0125,74.5243981373,29.84725,1.06464230042
3,2,Total,2146.0125,74.5243981373,29.84725,1.06464230042
3,3,1,2116.625,62.1175641196,30.245375,0.940594942011
3,3,Total,2116.625,62.1175641196,30.245375,0.940594942011
3,Total,Total,6395.0375,196.701884809,30.0410833333,0.980855101408
Total,Total,Total,6347.87083333,115.280157661,30.2701944444,0.578713182407
