Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,6928.2625,354.395964765,11.306872375,0.739728107057,0.0,0.0,6928.2625,0.0,6928.2625,47.5875,12.2811925265,6.77408375,0.505948878719,4.4905835,0.241903334267
1,2,7615.575,378.352349845,10.750030375,0.50056136986,0.0,0.0,7615.575,0.0,7615.575,52.25,9.63051584512,6.626375,0.303966114921,4.092535625,0.216042774028
1,Total,14543.8375,477.569862177,11.028451375,0.460838627024,0.0,0.0,14543.8375,0.0,14543.8375,49.91875,7.78608128065,6.700229375,0.322580480975,4.2915595625,0.152945837611
2,1,6718.5,391.7528283,11.700441,0.824055294628,0.0,0.0,6718.5,0.0,6718.5,50.925,9.5384299321,7.01511675,0.567194970742,4.633955,0.264565729863
2,2,7784.25,306.021365184,10.562090875,0.464742719254,0.0,0.0,7784.25,0.0,7784.25,50.425,11.5569859414,6.528963875,0.305766441894,4.0023575,0.170563724893
2,Total,14502.75,491.086279769,11.1312659375,0.492145402086,0.0,0.0,14502.75,0.0,14502.75,50.675,7.77618076833,6.7720403125,0.343362989613,4.31815625,0.156026374445
3,1,6658.425,371.272658176,11.891625375,0.751656510658,0.0,0.0,6658.425,0.0,6658.425,49.2625,11.7502962527,7.16689025,0.506258098584,4.676469125,0.255843373621
3,2,7974.425,326.207038978,10.3951095,0.477402715121,0.0,0.0,7974.425,0.0,7974.425,51.5125,11.4593323308,6.441668,0.309927549147,3.929314875,0.181105315371
3,Total,14632.85,505.312012899,11.1433674375,0.470212957552,0.0,0.0,14632.85,0.0,14632.85,50.3875,7.68401884235,6.804279125,0.326552610386,4.302892,0.156204437555
Total,Total,14559.8125,307.675015515,11.10102825,0.316637963233,0.0,0.0,14559.8125,0.0,14559.8125,50.3270833333,4.43870932492,6.75884960417,0.223973310924,4.30420260417,0.0985568743814
