Operation,Sharded,Workers,Clients,Machine type,Machine number,Average CPU usage,Std CPU usage,Average Network receive,Std Network receive,Average Network write,Std Network write
1:0,false,8,2,mw,1,7.5375,1.11061082267,2203341.66667,75986.8960315,5639762.5,194733.249651
1:0,false,8,2,mw,2,4.6125,0.716382045336,2635291.66667,60778.4331197,6745479.16667,155579.971556
1:0,false,8,2,mw,total,6.075,0.8653755394,2419316.66667,58963.5254009,6192620.83333,150961.978557
1:0,false,8,2,client,1,6.59166666667,1.14733838632,87429.1666667,14201.4038004,1324841.66667,215206.269254
1:0,false,8,2,client,2,4.92083333333,0.892607158092,91241.6666667,14907.7779188,1383312.5,226021.067087
1:0,false,8,2,client,3,5.16666666667,1.01466046783,81520.8333333,13298.8841627,1236045.83333,201710.385077
1:0,false,8,2,client,total,5.55972222222,0.945861227389,86730.5555556,14086.3629511,1314733.33333,213552.471545
1:0,false,8,2,server,1,14.7791666667,2.50678053763,3942725.0,642338.293419,259970.833333,42353.3191054
1:0,false,8,2,server,2,10.2208333333,1.94794691587,3944575.0,640542.78797,260166.666667,42247.0798099
1:0,false,8,2,server,3,11.0916666667,2.12345749427,3944183.33333,641437.500642,260104.166667,42296.8411023
1:0,false,8,2,server,total,12.0305555556,2.05457459392,3943827.77778,640367.791379,260080.555556,42227.3628339
1:0,false,8,4,mw,1,9.64583333333,0.733647324417,3581083.33333,100451.967376,9165412.5,257350.66536
1:0,false,8,4,mw,2,6.27083333333,0.578794882644,4232983.33333,85564.361247,10634975.0,292875.802439
1:0,false,8,4,mw,total,7.95833333333,0.584312018068,3907033.33333,78199.9375901,9900193.75,228301.581524
1:0,false,8,4,client,1,9.30833333333,1.55695888077,140162.5,22817.258116,2125670.83333,346081.612342
1:0,false,8,4,client,2,6.80833333333,1.19041530887,147841.666667,23969.0362261,2242250.0,363502.432295
1:0,false,8,4,client,3,7.1875,1.27161342523,131466.666667,21328.955247,1993483.33333,323469.847644
1:0,false,8,4,client,total,7.76805555556,1.28889783085,139823.611111,22676.8729521,2120468.05556,343918.195013
1:0,false,8,4,server,1,19.8208333333,3.28742382648,6361158.33333,1033091.28099,419416.666667,68112.2491261
1:0,false,8,4,server,2,13.3958333333,2.28804374153,6361762.5,1034523.972,419479.166667,68209.8574394
1:0,false,8,4,server,3,14.6916666667,2.76647348215,6361608.33333,1033350.56168,419470.833333,68133.931433
1:0,false,8,4,server,total,15.9694444444,2.67129082195,6361509.72222,1033447.52158,419455.555556,68138.306073
1:0,false,8,8,mw,1,8.95,0.788632315005,3688412.5,98548.570043,9433041.66667,245785.198749
1:0,false,8,8,mw,2,5.9375,0.533264104157,4404058.33333,96740.2713375,10977712.5,235589.315505
1:0,false,8,8,mw,total,7.44375,0.5893712531,4046235.41667,90988.7270407,10205377.0833,210934.078503
1:0,false,8,8,client,1,9.2125,1.58779074992,145025.0,23548.3029928,2198466.66667,356961.960649
1:0,false,8,8,client,2,6.74583333333,1.15621448134,147216.666667,23899.055175,2232112.5,362368.715035
1:0,false,8,8,client,3,7.52916666667,1.30205263677,142529.166667,23154.6925161,2161387.5,351233.544319
1:0,false,8,8,client,total,7.82916666667,1.29431224161,144923.611111,23512.1378498,2197322.22222,356518.907487
1:0,false,8,8,server,1,22.4458333333,9.31990350089,6589154.16667,1072361.64962,434508.333333,70707.1569177
1:0,false,8,8,server,2,12.7833333333,2.40551405947,6589783.33333,1071997.66345,434533.333333,70698.9934817
1:0,false,8,8,server,3,13.9083333333,2.40310102051,6589600.0,1072504.51187,434516.666667,70712.3071307
1:0,false,8,8,server,total,16.3791666667,3.93598938309,6589512.5,1072260.57567,434519.444444,70704.1775537
1:0,false,8,16,mw,1,9.3125,0.725938453684,3665308.33333,65777.0768556,9380925.0,166992.659877
1:0,false,8,16,mw,2,5.96666666667,0.455008075538,4423795.83333,86677.6769012,10999387.5,219689.522919
1:0,false,8,16,mw,total,7.63958333333,0.526675045332,4044552.08333,68211.1833726,10190156.25,164623.927523
1:0,false,8,16,client,1,9.22916666667,1.56939232329,144737.5,23479.2719879,2193641.66667,355967.561912
1:0,false,8,16,client,2,7.57916666667,3.53950728412,146433.333333,23775.816526,2220058.33333,360621.41154
1:0,false,8,16,client,3,7.61666666667,1.31858936687,142887.5,23184.6949704,2166683.33333,351668.416017
1:0,false,8,16,client,total,8.14166666667,1.72721475896,144686.111111,23466.1065694,2193461.11111,355868.285948
1:0,false,8,16,server,1,19.0666666667,3.21406893203,6578912.5,1065832.93992,433820.833333,70275.5865833
1:0,false,8,16,server,2,12.5416666667,2.23158190661,6579075.0,1065452.8312,433812.5,70256.0685798
1:0,false,8,16,server,3,13.8958333333,2.46185741114,6578820.83333,1065718.13436,433783.333333,70276.0900494
1:0,false,8,16,server,total,15.1680555556,2.527794779,6578936.11111,1065614.58661,433805.555556,70265.7948012
1:0,false,8,24,mw,1,9.3625,0.825394676084,3664133.33333,80474.9019589,9379795.83333,205510.194899
1:0,false,8,24,mw,2,6.0375,0.60470203982,4438520.83333,73638.2583357,11016666.6667,190491.259199
1:0,false,8,24,mw,total,7.7,0.634453816735,4051327.08333,68983.4130971,10198231.25,169743.318865
1:0,false,8,24,client,1,9.39583333333,1.60965245089,145545.833333,23558.5420827,2198795.83333,356418.449429
1:0,false,8,24,client,2,6.85833333333,1.20567691418,146900.0,23803.3670159,2220954.16667,360576.252906
1:0,false,8,24,client,3,7.86666666667,1.37855792077,143862.5,23294.5243109,2174229.16667,352789.776131
1:0,false,8,24,client,total,8.04027777778,1.35360166186,145436.111111,23545.0562741,2197993.05556,356455.15386
1:0,false,8,24,server,1,18.95,3.1627668636,6594454.16667,1069075.39641,434845.833333,70491.8214276
1:0,false,8,24,server,2,12.4833333333,2.1484302319,6594250.0,1068812.25203,434808.333333,70472.1823205
1:0,false,8,24,server,3,13.25,2.3698172409,6594666.66667,1068839.96163,434820.833333,70474.8799398
1:0,false,8,24,server,total,14.8944444444,2.47095330826,6594456.94444,1068865.44605,434825.0,70476.4416299
1:0,false,8,32,mw,1,9.24583333333,0.66401106103,3670308.33333,57438.6672222,9411162.5,139987.943963
1:0,false,8,32,mw,2,6.03333333333,0.487826489179,4403841.66667,72060.8426902,10980412.5,174051.734584
1:0,false,8,32,mw,total,7.63958333333,0.5145176144,4037075.0,53697.4379115,10195787.5,123395.835956
1:0,false,8,32,client,1,9.45,1.60878390532,151066.666667,24389.0985769,2193125.0,354584.098503
1:0,false,8,32,client,2,7.0125,1.20412295703,152112.5,24556.2555586,2211891.66667,358607.102857
1:0,false,8,32,client,3,7.92083333333,1.34931742915,149970.833333,24220.1688426,2173141.66667,352088.252007
1:0,false,8,32,client,total,8.12777777778,1.34861148228,151050.0,24380.0128981,2192719.44444,354888.304536
1:0,false,8,32,server,1,21.3708333333,8.39730613659,6575891.66667,1063672.84208,433608.333333,70140.4212418
1:0,false,8,32,server,2,12.4416666667,2.15357942971,6576116.66667,1063531.74491,433633.333333,70127.5229821
1:0,false,8,32,server,3,13.5875,2.66732257229,6576195.83333,1063655.11671,433620.833333,70136.2496335
1:0,false,8,32,server,total,15.8,3.73121800631,6576068.05556,1063571.59576,433620.833333,70131.8355201
1:0,false,8,40,mw,1,9.49166666667,0.7115186508,3673179.16667,85474.9771125,9527016.66667,204482.984275
1:0,false,8,40,mw,2,6.10833333333,0.430140787471,4421883.33333,76993.8733932,11020833.3333,193739.933271
1:0,false,8,40,mw,total,7.8,0.508990893787,4047531.25,71516.8638151,10273925.0,165234.617537
1:0,false,8,40,client,1,9.93333333333,1.66742598737,197754.166667,32032.4090345,2196225.0,355953.337604
1:0,false,8,40,client,2,7.20416666667,1.26901154264,197912.5,32081.811022,2211275.0,358563.338115
1:0,false,8,40,client,3,8.275,1.46191693511,197129.166667,31973.4195931,2178516.66667,353399.280925
1:0,false,8,40,client,total,8.47083333333,1.42173468151,197598.611111,32012.5409759,2195338.88889,355802.110761
1:0,false,8,40,server,1,18.9833333333,3.17820460777,6585300.0,1067611.47318,434200.0,70388.2262243
1:0,false,8,40,server,2,12.3291666667,2.19800046584,6585866.66667,1067886.15495,434258.333333,70407.8529176
1:0,false,8,40,server,3,13.8,2.4509821792,6585645.83333,1067839.24651,434233.333333,70405.6640095
