[RUN #1 29%,  26 secs]  2 threads:       80217 ops,    3107 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.61) msec latency
[RUN #1 30%,  27 secs]  2 threads:       83289 ops,    3059 (avg:    3073) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 31%,  28 secs]  2 threads:       86361 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 32%,  29 secs]  2 threads:       89433 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.64 (avg: 15.61) msec latency
[RUN #1 33%,  30 secs]  2 threads:       92553 ops,    3107 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 35%,  31 secs]  2 threads:       95625 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 36%,  32 secs]  2 threads:       98697 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.64 (avg: 15.61) msec latency
[RUN #1 37%,  33 secs]  2 threads:      101769 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.61) msec latency
[RUN #1 38%,  34 secs]  2 threads:      104889 ops,    3107 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 39%,  35 secs]  2 threads:      107961 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 40%,  36 secs]  2 threads:      111033 ops,    3059 (avg:    3072) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 41%,  37 secs]  2 threads:      114151 ops,    3105 (avg:    3073) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.62) msec latency
