[RUN #1 67%,  60 secs]  2 threads:      185555 ops,    3047 (avg:    3074) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.61) msec latency
[RUN #1 68%,  61 secs]  2 threads:      188675 ops,    3095 (avg:    3074) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 69%,  62 secs]  2 threads:      191747 ops,    3047 (avg:    3074) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 70%,  63 secs]  2 threads:      194867 ops,    3095 (avg:    3074) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 72%,  64 secs]  2 threads:      197940 ops,    3048 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 73%,  65 secs]  2 threads:      201060 ops,    3095 (avg:    3074) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 74%,  66 secs]  2 threads:      204132 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 75%,  67 secs]  2 threads:      207252 ops,    3095 (avg:    3074) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 76%,  68 secs]  2 threads:      210324 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.61) msec latency
[RUN #1 77%,  69 secs]  2 threads:      213444 ops,    3095 (avg:    3074) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.61) msec latency
[RUN #1 78%,  70 secs]  2 threads:      216516 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.61) msec latency
[RUN #1 79%,  71 secs]  2 threads:      219636 ops,    3095 (avg:    3074) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.61) msec latency
[RUN #1 81%,  72 secs]  2 threads:      222708 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.61) msec latency
[RUN #1 82%,  73 secs]  2 threads:      225828 ops,    3095 (avg:    3073) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 83%,  74 secs]  2 threads:      228900 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.61) msec latency
[RUN #1 84%,  75 secs]  2 threads:      232020 ops,    3095 (avg:    3073) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 85%,  76 secs]  2 threads:      235092 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 86%,  77 secs]  2 threads:      238226 ops,    3109 (avg:    3074) ops/sec, 3.19MB/sec (avg: 3.15MB/sec), 15.56 (avg: 15.61) msec latency
[RUN #1 87%,  78 secs]  2 threads:      241298 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 88%,  79 secs]  2 threads:      244418 ops,    3095 (avg:    3073) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.61 (avg: 15.61) msec latency
[RUN #1 89%,  80 secs]  2 threads:      247490 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.61) msec latency
[RUN #1 91%,  81 secs]  2 threads:      250610 ops,    3095 (avg:    3073) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 92%,  82 secs]  2 threads:      253682 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 93%,  83 secs]  2 threads:      256802 ops,    3095 (avg:    3073) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 94%,  84 secs]  2 threads:      259877 ops,    3050 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 95%,  85 secs]  2 threads:      262994 ops,    3092 (avg:    3073) ops/sec, 3.17MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 96%,  86 secs]  2 threads:      266066 ops,    3047 (avg:    3073) ops/sec, 3.13MB/sec (avg: 3.15MB/sec), 15.63 (avg: 15.61) msec latency
[RUN #1 97%,  87 secs]  2 threads:      269186 ops,    3095 (avg:    3073) ops/sec, 3.18MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 98%,  88 secs]  2 threads:      272269 ops,    3058 (avg:    3073) ops/sec, 3.14MB/sec (avg: 3.15MB/sec), 15.62 (avg: 15.61) msec latency
[RUN #1 100%,  89 secs]  2 threads:      275333 ops,    3039 (avg:    3073) ops/sec, 3.12MB/sec (avg: 3.15MB/sec), 15.85 (avg: 15.61) msec latency
