Client host,Average Throughput,Std Throughput,Average Response Time,Std Response Time
1,3415.891666666667,491.754382951512,0.5877916666666666,0.08873658973074881
2,2974.0333333333333,429.0017298798321,0.6772083333333333,0.10285932188007565
Total,6389.925,833.6823859907903,0.6325000000000001,0.10588132956237192
