Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,550.271604938,68.4945275817,3.52913580247,0.444365270726
1,1,2,647.654320988,76.756459092,2.9937037037,0.357188481213
1,1,Total,1196.75,139.746832577,3.2633125,0.38489185046
1,2,1,584.802469136,74.6303255643,3.32950617284,0.431850382756
1,2,2,711.679012346,84.2982543058,2.72827160494,0.323932053537
1,2,Total,1295.8,153.64272217,3.0295625,0.363976103116
1,3,1,538.308641975,66.3633260874,3.60975308642,0.447157621283
1,3,2,634.679012346,75.6359417143,3.05530864198,0.364880413354
1,3,Total,1172.4375,137.517027139,3.333,0.393244858819
1,Total,Total,3664.9875,426.750438255,3.208625,0.376624355844
2,1,1,555.925925926,68.0657362,3.4924691358,0.431417810435
2,1,2,609.333333333,76.6964797106,3.1875308642,0.40066360848
2,1,Total,1164.475,137.934764897,3.341125,0.395591989494
2,2,1,595.259259259,77.1608349128,3.27320987654,0.434479076483
2,2,2,679.407407407,86.6740701966,2.86432098765,0.368354239393
2,2,Total,1273.675,153.77105907,3.0696875,0.374999868143
2,3,1,542.160493827,67.2702491429,3.58530864198,0.451218036042
2,3,2,602.851851852,75.0911298209,3.22283950617,0.402840646434
2,3,Total,1144.3125,136.212101337,3.4049375,0.407228587683
2,Total,Total,3582.4625,423.495369148,3.27191666667,0.388288293507
3,1,1,561.296296296,69.778299715,3.46148148148,0.436723914822
3,1,2,585.592592593,71.6524210648,3.3149382716,0.407685919112
3,1,Total,1147.8875,135.923004429,3.3838125,0.402354812048
3,2,1,601.456790123,75.5569403468,3.23456790123,0.413748260971
3,2,2,642.691358025,80.896174504,3.02716049383,0.387599131087
3,2,Total,1245.5625,150.565419042,3.125875,0.381472641984
3,3,1,549.691358025,67.2212098179,3.53308641975,0.434544709942
3,3,2,575.283950617,72.4232757075,3.37839506173,0.430262875432
3,3,Total,1125.9,134.749425212,3.4516875,0.414710470721
3,Total,Total,3519.35,418.35797463,3.32045833333,0.396666753094
