Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1007.15,428.871114569,32.1568831169,5.46113475285
1,1,2,1165.2125,28.7458059682,27.463375,0.65905944441
1,1,Total,2172.3625,431.853797452,29.7897402597,2.69759394453
1,2,1,918.55,189.1415584,32.3645,6.72006572075
1,2,2,1174.1125,29.4252942728,27.2555,0.67363532936
1,2,Total,2092.6625,195.678368484,29.81,3.30557746923
1,3,1,943.5375,41.7978691692,33.94,1.74848723042
1,3,2,1157.95,27.9288879981,27.633125,0.663116145296
1,3,Total,2101.4875,52.1849179798,30.7865625,0.951823231697
1,Total,Total,6366.5125,548.214939686,30.3293290043,0.92311853302
2,1,1,917.375,53.9104684416,34.986375,2.20818972983
2,1,2,1164.1875,38.5982533054,27.503875,0.96301280109
2,1,Total,2081.5625,74.3658155695,31.245125,1.30926565924
2,2,1,923.15,53.7267111749,34.760875,2.13358745478
2,2,2,1173.4,35.6422448823,27.2855,0.861163328574
2,2,Total,2096.55,72.3162709076,31.0231875,1.24797817343
2,3,1,908.4,54.1562670965,35.33325,2.25605333394
2,3,2,1157.8125,36.3098807036,27.653125,0.919494348865
2,3,Total,2066.2125,72.2913748641,31.4931875,1.31681175278
2,Total,Total,6244.325,209.489359568,31.2538333333,1.24013514984
3,1,1,912.0125,51.3766172864,35.186875,2.18140913333
3,1,2,1155.7,27.1914915955,27.68875,0.674464391343
3,1,Total,2067.7125,64.9670206014,31.4378125,1.23164956891
3,2,1,919.4125,47.7426364526,34.8875,1.93335446664
3,2,2,1164.55,28.401239053,27.478,0.689619965055
3,2,Total,2083.9625,62.1320447194,31.18275,1.11160475286
3,3,1,905.1875,47.7151605953,35.4355,2.01332453822
3,3,2,1148.9875,28.6557453315,27.851625,0.701875324769
3,3,Total,2054.175,62.0040372307,31.6435625,1.13998006693
3,Total,Total,6205.85,157.076704636,31.421375,0.986655753696
Total,Total,Total,6272.22916667,220.585683725,30.9736147186,0.610318735522
