Throughput,Latency
5034,0.79
5644,0.71
5165,0.76
5042,0.79
4884,0.81
4219,0.94
4464,0.89
3841,1.03
5252,0.75
5498,0.73
3854,1.02
4047,0.99
5272,0.74
4030,0.98
4309,0.92
4903,0.82
5082,0.78
4099,0.96
4847,0.82
4485,0.88
5073,0.79
4769,0.83
5038,0.79
5209,0.76
4212,0.94
4436,0.9
4553,0.87
4140,0.96
5197,0.76
5757,0.69
4711,0.84
4389,0.9
4277,0.94
4280,0.92
4872,0.82
4739,0.83
5488,0.73
5216,0.76
5574,0.71
5084,0.78
5145,0.77
5169,0.76
5134,0.77
4928,0.81
4171,0.95
4423,0.9
5410,0.73
6215,0.64
5805,0.69
5751,0.69
5361,0.74
5062,0.79
5208,0.76
5304,0.75
4884,0.81
5550,0.72
5851,0.68
5071,0.78
5454,0.73
5564,0.72
5718,0.7
5624,0.7
5664,0.7
5485,0.73
5452,0.73
4941,0.81
4726,0.84
5386,0.74
6100,0.65
6087,0.65
5040,0.79
5532,0.72
5012,0.79
5576,0.71
4999,0.79
5096,0.78
5349,0.74
5476,0.73
5490,0.72
5518,0.72
