Throughput,latency(ms)
1180.33333333,3.37666666667
1339.0,3.01666666667
1318.33333333,3.025
1354.66666667,2.94833333333
1341.66666667,2.97333333333
1335.33333333,2.985
1317.33333333,3.03166666667
1308.0,3.04833333333
1241.0,3.22833333333
1339.0,2.97833333333
1323.66666667,3.01
1350.0,2.95166666667
1350.0,2.95333333333
1359.33333333,2.93166666667
1328.33333333,2.96166666667
1348.0,2.99833333333
1339.66666667,2.98
1354.66666667,2.945
1376.66666667,2.895
1348.66666667,2.96166666667
1340.66666667,2.97166666667
1339.33333333,2.97833333333
1334.66666667,2.98666666667
1332.0,2.99333333333
1320.0,3.025
1330.33333333,2.995
1326.66666667,3.00666666667
1315.0,3.03
1342.66666667,2.97166666667
1352.0,2.95
1339.66666667,2.97833333333
1340.0,2.97333333333
1334.33333333,2.99166666667
1329.0,2.98333333333
1322.33333333,3.03333333333
1344.33333333,2.96166666667
1317.33333333,3.02833333333
1355.0,2.94333333333
1334.66666667,2.98666666667
1317.66666667,3.02833333333
1347.0,2.96
1342.33333333,2.97333333333
1344.33333333,2.96
1359.0,2.94333333333
1340.66666667,2.975
1330.0,3.00166666667
1364.66666667,2.92666666667
1340.33333333,2.96
1350.0,2.96833333333
1348.33333333,2.955
1323.33333333,3.01333333333
1363.0,2.92833333333
1356.0,2.94333333333
1363.66666667,2.92833333333
1360.0,2.93333333333
1327.33333333,2.97
1364.0,2.965
1342.33333333,2.965
1352.66666667,2.95333333333
1338.33333333,2.97666666667
1357.66666667,2.94166666667
1335.66666667,2.98166666667
1325.0,3.01833333333
1345.33333333,2.96333333333
1332.33333333,2.99166666667
1321.66666667,3.01666666667
1316.33333333,3.02833333333
1313.33333333,3.02666666667
1337.33333333,2.98666666667
1346.66666667,2.96166666667
1317.66666667,3.02333333333
1328.0,3.005
1314.66666667,3.03166666667
1328.0,3.00166666667
1351.33333333,2.95
1334.33333333,2.99166666667
1322.33333333,3.015
1363.66666667,2.925
1355.0,2.94666666667
1361.0,2.92833333333
