2K_ANALYSIS


Middleware count,Server count,Worker count,Operation,Average Throughput (client),Std Throughtput (client),Average Latency (client),Std Latency (client),Average Throughput (mw),Std Throughput (mw),Average Latency (mw),Std Latency (mw),Average Queue Length (mw),Std Queue Length (mw),Average Queue Time (mw),Std Queue Time (mw),Average Server Time (mw),Std Server Time (mw),Hits/Throughput (mw),,Std Throughput across reps (clients),Std Latency across reps (clients),Std Throughtput across reps (mw),Std Latency across reps (mw)
1,2,8,1:0,2784.53333333,56.2007302584,69.0200138889,1.41254356006,2804.49583333,56.9255440316,66.1934616667,1.31513739661,180.804166667,1.93980710831,63.3884045417,1.25947815743,2.77052183333,0.0559776336259,1.0,,16.5322664306,0.416901009813,15.6780565866,0.411774124314
1,2,8,0:1,4834.11666667,158.437261916,39.8424861111,1.38582130147,4865.0125,161.797293295,37.9898922083,1.30975877172,179.454166667,1.45947965796,36.37186225,1.25304371539,1.584292,0.0563866325707,1.0,,18.3589272109,0.15369125643,22.7773153324,0.161122382304
1,2,8,1:1,3725.75416667,90.0342135898,51.6195416667,1.31687235355,3752.02083333,95.9482886944,49.4483880833,1.34822575343,180.279166667,1.44027242891,47.351854875,1.29070874069,2.06095041667,0.0566894220838,1.0,,27.0490131906,0.355753428257,26.2056241976,0.362470919354
1,2,32,1:0,7433.32916667,169.363418818,25.8763472222,0.60928352713,7509.46666667,165.442420117,22.63375175,0.501503324145,140.329166667,5.43093544198,18.4331929583,0.409705845463,4.15694579167,0.093884296569,1.0,,252.504660332,0.893773392588,248.62903979,0.708372056176
1,2,32,0:1,11035.8166667,208.080429787,17.41175,0.355862067909,11139.3333333,223.96733487,14.7865152917,0.32344449554,134.7625,6.19109513181,11.9614522083,0.263868262572,2.78166345833,0.0579031776465,1.0,,119.234558967,0.194617908242,115.651324931,0.163785462007
1,2,32,1:1,9276.42083333,143.334390574,20.7048472222,0.332571245277,9366.225,164.844364864,17.963837125,0.296976676818,138.883333333,8.42307793581,14.6025476667,0.24164013297,3.31749204167,0.056270539175,1.0,,51.5447868565,0.113482716639,42.2760810772,0.0761507100323
1,3,8,1:0,2603.15,78.7998747027,73.9441388889,2.46116973433,2626.0,84.4116062437,70.9318392083,2.51882647248,180.275,1.88171675513,67.9269460417,2.4108417056,2.97058579167,0.107007605121,1.0,,25.6931775964,0.77162477427,25.6652367026,0.78938320568
1,3,8,0:1,4146.1,113.227182852,46.3900833333,1.35293339774,4178.64166667,122.446862955,44.4101180417,1.31724204782,180.066666667,1.40363201768,42.526043125,1.25976331168,1.85046754167,0.0571776953521,1.0,,25.2386639157,0.277941768578,28.6871114716,0.276248436059
1,3,8,1:1,3381.6875,78.3557350812,56.8585833333,1.45059149631,3409.775,84.2231610541,54.5490217917,1.38387667734,180.7875,1.38328757995,52.23916375,1.32294870482,2.27246320833,0.0563363332171,1.0,,8.95028805402,0.181705524293,6.56478531637,0.135380122465
1,3,32,1:0,6347.87083333,115.280157661,30.2701944444,0.578713182407,6398.62916667,111.101947504,26.3911435,0.433382456486,139.891666667,4.87791169493,21.4742112083,0.35398054622,4.86820245833,0.0820621974772,1.0,,55.3830374152,0.273422642732,55.4606875596,0.209903987946
