Throughput,latency(ms)
20276.0,2.375
20138.3333333,2.39
20161.6666667,2.39166666667
19704.6666667,2.43666666667
19985.6666667,2.40333333333
18243.3333333,2.65833333333
19233.3333333,2.38
20221.3333333,2.50166666667
20001.0,2.4
20694.3333333,2.32333333333
20719.6666667,2.32166666667
19396.6666667,2.38833333333
19307.6666667,2.59166666667
20409.0,2.355
20103.3333333,2.37666666667
20664.6666667,2.34
20273.3333333,2.37166666667
20448.3333333,2.36166666667
19580.3333333,2.455
19081.0,2.56666666667
19629.0,2.44833333333
20232.3333333,2.38
20077.3333333,2.39166666667
20808.6666667,2.30666666667
19916.0,2.41
19898.3333333,2.41666666667
19464.6666667,2.465
19719.0,2.43333333333
19629.6666667,2.44333333333
19308.6666667,2.495
18754.0,2.57333333333
17439.3333333,2.78666666667
18734.3333333,2.59666666667
19534.0,2.45
19411.6666667,2.48833333333
19608.6666667,2.44666666667
19332.6666667,2.48833333333
18294.3333333,2.67166666667
19761.6666667,2.42166666667
19541.0,2.44833333333
19433.3333333,2.47333333333
20443.0,2.35666666667
19909.6666667,2.41333333333
19726.6666667,2.43
20307.3333333,2.375
19826.6666667,2.42333333333
19257.6666667,2.5
19553.6666667,2.45
18915.3333333,2.54333333333
19965.3333333,2.405
19531.0,2.38166666667
19291.3333333,2.60333333333
19526.6666667,2.47333333333
19709.6666667,2.44
20641.0,2.325
18944.0,2.585
17192.0,2.845
17720.6666667,2.715
18621.0,2.58333333333
19618.6666667,2.44666666667
19321.0,2.48166666667
20094.6666667,2.40166666667
20247.0,2.38166666667
19934.6666667,2.40666666667
19369.6666667,2.49333333333
20050.3333333,2.39333333333
19865.6666667,2.42166666667
18586.0,2.595
19117.3333333,2.535
19979.0,2.40166666667
20657.6666667,2.33333333333
18887.3333333,2.64333333333
19596.3333333,2.47833333333
19321.6666667,2.53166666667
20553.3333333,2.33333333333
20309.0,2.365
19524.0,2.45833333333
19268.3333333,2.51666666667
20061.3333333,2.395
19809.3333333,2.41666666667
