Throughput,latency(ms)
7846,2.02
7681,2.08
8380,1.92
9469,1.69
9316,1.70
8094,1.97
8696,1.85
8085,1.96
6977,2.30
8214,1.93
9050,1.76
8382,1.91
8536,1.87
8442,1.89
8240,1.93
8650,1.85
8716,1.83
8323,1.92
8179,1.95
8355,1.91
8231,1.94
9367,1.72
9173,1.73
7521,2.14
9002,1.76
7592,2.12
8521,1.87
8717,1.83
8506,1.86
8483,1.88
8730,1.83
8815,1.81
8380,1.90
8711,1.83
9457,1.69
8759,1.82
8597,1.86
9377,1.70
9085,1.77
8604,1.84
8363,1.92
8483,1.87
8726,1.83
8383,1.90
8653,1.85
8367,1.92
8788,1.81
5844,2.75
6985,2.26
7926,2.02
7562,2.09
7027,2.27
8147,1.95
8210,1.96
7550,2.11
7570,2.11
8590,1.84
7611,2.09
7693,2.07
7900,2.02
8440,1.89
6966,2.29
7797,2.06
8345,1.90
7919,2.01
8360,1.91
8984,1.79
7867,2.01
8259,1.94
7994,1.98
7909,2.03
7620,2.08
9060,1.77
8839,1.81
8179,1.94
8021,2.00
8567,1.86
8091,1.96
8329,1.92
8192,1.93
8610,1.85
8073,1.99
7028,2.25
7032,2.27
8441,1.89
8921,1.79
9390,1.71
8641,1.83
8457,1.88
6868,2.31
7099,2.26
7237,2.18
7792,2.04
7862,2.04
8190,1.94
7793,2.06
8206,1.93
7124,2.24
8232,1.95
8086,1.96
7789,2.05
8313,1.92
8626,1.85
8036,1.99
8038,1.98
8722,1.84
8643,1.85
8086,1.97
8629,1.85
8917,1.79
8566,1.86
8206,1.94
7148,2.23
8297,1.92
6886,2.32
8463,1.89
8868,1.80
8364,1.91
8508,1.87
7821,2.05
8178,1.95
7825,2.03
8066,1.98
8262,1.93
8383,1.90
8401,1.90
8269,1.93
8085,1.98
8067,1.97
7803,2.04
8386,1.90
8478,1.86
8744,1.86
7810,2.04
7849,2.04
7691,2.07
5368,2.97
7150,2.24
7822,2.04
6857,2.31
6636,2.40
8723,1.84
7920,2.02
7452,2.14
7660,2.09
8422,1.88
7771,2.06
7543,2.11
7795,2.05
7859,2.03
6574,2.43
7789,2.04
7568,2.12
7073,2.26
7971,1.99
8362,1.91
7222,2.21
8634,1.84
8343,1.93
7807,2.03
7005,2.29
7869,2.02
8114,1.97
7704,2.07
7862,2.03
8369,1.91
8396,1.90
7433,2.14
7928,2.02
8401,1.90
8420,1.89
7629,2.10
7318,2.17
8745,1.84
8483,1.88
7999,1.98
8354,1.92
8717,1.83
8184,1.95
7818,2.03
8318,1.92
8554,1.86
8601,1.85
8184,1.95
8566,1.86
8366,1.91
7967,1.99
8421,1.91
8647,1.83
8575,1.87
8632,1.85
8287,1.92
9075,1.76
8329,1.90
7251,2.22
8537,1.87
8199,1.94
8465,1.89
8855,1.70
7601,2.22
7831,2.04
8437,1.87
8568,1.87
8667,1.83
8151,1.96
7985,2.00
7922,2.00
7711,2.08
8094,1.97
9001,1.77
9371,1.70
8716,1.84
8601,1.85
8657,1.85
7962,2.00
9073,1.77
9034,1.77
9155,1.73
9275,1.73
9179,1.74
7574,2.10
9539,1.67
9148,1.75
8393,1.91
8844,1.80
8868,1.80
8738,1.83
