Throughput,Response time (ms),Queue time (ms),Queue length
2711.66666667,2024.52,23.8883333333,0.166666666667
2601.66666667,2000.54166667,21.845,0.0
2584.0,1998.47166667,32.97,0.0
2564.33333333,2039.13166667,40.925,0.0
2614.66666667,1982.07666667,20.705,0.0
2608.33333333,1990.545,29.28,0.0
2581.33333333,2005.475,33.9516666667,0.0
2570.33333333,1993.44166667,19.7266666667,0.0
2545.66666667,2039.12666667,20.4616666667,0.0
2613.33333333,1999.46,16.9166666667,0.0
2609.33333333,1973.84666667,21.3066666667,0.333333333333
2612.33333333,1992.67,27.8816666667,0.0
2599.66666667,1999.125,24.495,0.0
2611.0,2001.57666667,17.73,0.0
2561.66666667,2023.13166667,32.6216666667,0.0
2615.33333333,1967.80833333,16.72,0.0
2582.33333333,2010.585,22.2966666667,0.0
2564.66666667,1993.13833333,15.6716666667,0.0
2617.0,2018.865,15.7883333333,0.0
2603.66666667,1999.09666667,28.7583333333,0.0
2588.0,2013.275,24.385,0.0
2613.66666667,1996.76333333,29.1866666667,0.0
2587.0,1996.53333333,26.56,0.5
2791.66666667,2032.82833333,21.3766666667,0.0
2556.33333333,2011.72333333,19.61,0.0
2644.0,1983.04666667,18.68,0.0
2592.0,2030.62166667,19.2583333333,0.0
2636.0,1965.80166667,24.24,0.0
2598.66666667,1987.495,23.8166666667,0.0
2589.33333333,2020.57833333,21.6583333333,0.0
2628.0,1965.745,21.8966666667,0.0
2634.0,1980.54166667,28.6916666667,0.166666666667
2596.33333333,2009.99833333,20.52,0.0
2598.33333333,2040.88,15.2633333333,0.166666666667
2528.33333333,2051.115,24.41,0.0
2560.0,2029.24666667,23.87,0.0
2587.0,2015.53,24.3883333333,0.0
2619.0,2002.855,28.7316666667,0.0
2589.0,2005.51166667,23.2333333333,0.0
2569.33333333,2003.57666667,26.04,0.0
2625.0,1995.21333333,23.825,0.166666666667
2593.33333333,1998.63666667,21.1333333333,0.0
2629.0,2024.03666667,23.045,0.0
2584.0,2020.995,24.505,0.0
2575.0,2007.35833333,28.2616666667,0.0
2613.66666667,2006.09666667,23.2933333333,0.0
2585.0,2007.38666667,22.83,0.0
2573.0,1998.20833333,20.9183333333,0.166666666667
2630.66666667,1994.55,25.88,0.0
2590.0,2005.97666667,16.1266666667,0.0
2611.0,1989.225,24.5683333333,0.0
2572.66666667,1981.61,25.775,0.0
2576.33333333,2033.47333333,24.3966666667,0.0
2603.66666667,1968.97333333,26.0383333333,0.0
2569.33333333,2050.27833333,31.1,0.0
2627.33333333,1977.03666667,21.1183333333,0.0
2613.33333333,1980.72166667,36.6133333333,0.0
2548.33333333,2024.59833333,19.525,0.166666666667
2573.33333333,2035.75166667,27.3683333333,0.0
2499.0,2096.775,21.885,0.166666666667
2623.66666667,1987.88666667,18.835,0.0
2619.33333333,1994.79666667,24.5466666667,0.0
2543.66666667,2056.76833333,26.7133333333,0.0
2602.0,2006.995,20.7333333333,0.0
2584.33333333,2023.45166667,23.485,0.0
2579.33333333,2010.725,24.2216666667,0.0
2529.66666667,2056.73333333,18.4183333333,0.0
2577.33333333,2020.62666667,23.2316666667,0.0
2564.66666667,2046.22333333,23.8016666667,0.0
2488.66666667,2031.51,14.855,0.0
2526.33333333,2057.36833333,18.04,0.166666666667
2574.0,2031.995,30.5633333333,0.0
2580.33333333,2003.25666667,14.7933333333,0.0
2598.0,2010.71166667,20.9866666667,0.0
2592.33333333,1996.65,31.7216666667,0.0
2627.0,1981.36666667,21.565,0.0
2590.0,1993.07166667,19.125,0.0
2663.33333333,1911.52666667,26.0116666667,0.0
2623.0,1971.23166667,32.0633333333,0.0
2647.66666667,1958.49,24.0333333333,0.0
