Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,699.75,42.2120925742,2.851375,0.190593634585
1,1,2,832.25,23.3517407803,2.386875,0.068391903992
1,1,Total,1532.0,53.2807229966,2.619125,0.109358818875
1,2,1,741.4625,45.379397475,2.694125,0.179490796986
1,2,2,892.45,32.0426535351,2.230125,0.0823468082894
1,2,Total,1633.9125,60.3863497338,2.462125,0.104429659568
1,3,1,646.9125,29.5704238785,3.081625,0.144497766178
1,3,2,765.25,22.9178499886,2.599625,0.0807315249077
1,3,Total,1412.1625,40.5732479519,2.840625,0.0893555513494
1,Total,Total,4578.075,119.129200684,2.640625,0.0765576067999
2,1,1,700.9875,39.8260438133,2.845,0.175138281713
2,1,2,796.075,31.8524187822,2.498375,0.102653944291
2,1,Total,1497.0625,53.6984887113,2.6716875,0.106182145124
2,2,1,743.6625,43.2522608614,2.685,0.162807644519
2,2,2,847.6375,42.5991750529,2.35225,0.124990885744
2,2,Total,1591.3,66.3566123306,2.518625,0.110160915098
2,3,1,653.4625,31.4859598005,3.0515,0.151407740217
2,3,2,734.4625,31.6715516441,2.713,0.124162001158
2,3,Total,1387.925,48.3381483125,2.88225,0.104756800933
2,Total,Total,4476.2875,143.315990941,2.69085416667,0.0915805094722
3,1,1,694.2625,41.3535983312,2.874375,0.188188188534
3,1,2,743.1375,32.3285130058,2.678625,0.120397482521
3,1,Total,1437.4,57.1506115896,2.7765,0.120773875958
3,2,1,737.75,43.1786105041,2.706875,0.172315531526
3,2,2,791.8125,41.0156172016,2.518125,0.132522687334
3,2,Total,1529.5625,68.7677882626,2.6125,0.125685462338
3,3,1,644.55,30.4143953259,3.093625,0.152757305239
3,3,2,688.45,33.866042886,2.8965,0.146236326852
3,3,Total,1333.0,45.7865161733,2.9950625,0.109082751511
3,Total,Total,4299.9625,155.362576644,2.7946875,0.107185609271
Total,Total,Total,4451.44166667,87.3086700608,2.70872222222,0.0567265754304
