Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,3088.3625,83.5420372847,20.72575,0.56738301086
1,1,Total,3088.3625,83.5420372847,20.72575,0.56738301086
1,2,1,3125.8875,93.3711789417,20.482,0.619022095268
1,2,Total,3125.8875,93.3711789417,20.482,0.619022095268
1,3,1,3052.475,89.4461120565,20.971875,0.639703439499
1,3,Total,3052.475,89.4461120565,20.971875,0.639703439499
1,Total,Total,9266.725,251.018581944,20.7265416667,0.575199700844
2,1,1,3082.7875,94.5706746301,20.76625,0.671942913112
2,1,Total,3082.7875,94.5706746301,20.76625,0.671942913112
2,2,1,3113.35,77.1401978646,20.559625,0.519184959482
2,2,Total,3113.35,77.1401978646,20.559625,0.519184959482
2,3,1,3034.275,73.265249849,21.091875,0.51875970328
2,3,Total,3034.275,73.265249849,21.091875,0.51875970328
2,Total,Total,9230.4125,225.08910718,20.8059166667,0.526379768837
3,1,1,3114.3,90.1259877665,20.553625,0.610238060519
3,1,Total,3114.3,90.1259877665,20.553625,0.610238060519
3,2,1,3154.1375,95.6948927582,20.301,0.641624915075
3,2,Total,3154.1375,95.6948927582,20.301,0.641624915075
3,3,1,3063.6875,80.7646359742,20.891625,0.555366098321
3,3,Total,3063.6875,80.7646359742,20.891625,0.555366098321
3,Total,Total,9332.125,244.914781097,20.5820833333,0.552285718417
Total,Total,Total,9276.42083333,143.334390574,20.7048472222,0.332571245277
