Throughput,Latency
7164,4.79
10184,3.13
10318,3.1
10096,3.15
8982,3.56
9997,3.19
10474,3.03
6750,4.72
9781,3.25
10564,3.02
10046,3.17
10282,3.11
10144,3.15
10461,3.04
10450,3.05
11285,2.82
11184,2.88
9297,3.41
10032,3.17
10050,3.16
10351,3.09
10336,3.11
5539,3.02
11110,4.34
11001,2.92
10134,3.15
10104,3.15
9665,3.3
10420,3.06
10915,2.93
10979,2.91
11233,2.83
10537,3.05
9649,3.11
6771,4.96
10363,3.08
10504,3.05
9878,3.23
10553,3.03
9500,3.35
9014,3.55
9770,3.26
6589,4.85
9248,3.46
11353,2.82
9068,3.5
10600,3.02
8928,3.58
9549,3.35
9160,3.48
5171,6.19
11167,2.86
11023,2.9
10970,2.91
10358,3.09
10760,2.96
10829,2.96
10974,2.91
11096,2.86
10499,3.04
9630,3.34
9836,3.24
11034,2.88
11137,2.88
10452,3.05
9509,3.38
9149,3.46
10283,3.12
9811,3.24
9505,3.36
9264,3.44
10484,3.06
10458,3.04
11071,2.89
9362,3.41
10014,3.18
9324,3.44
9671,3.28
9385,3.41
9828,3.24
