Throughput,Latency
9552,2.53
10323,2.32
10175,2.34
10705,2.24
10021,2.39
9342,2.57
8146,2.54
9638,2.84
8945,2.66
11159,2.16
11128,2.14
9747,2.47
9553,2.49
9802,2.44
9781,2.36
10757,2.32
10438,2.29
10989,2.2
10353,2.31
8009,2.99
9435,2.53
9354,2.56
10417,2.32
10605,2.26
10101,2.37
9979,2.39
9281,2.58
9623,2.51
10323,2.32
9465,2.51
9006,2.68
9200,2.59
10084,2.39
10252,2.32
11048,2.17
9668,2.48
8842,2.71
7434,3.22
10057,2.4
9385,2.53
9730,2.46
9581,2.5
9210,2.6
10092,2.37
10520,2.28
10411,2.3
10408,2.3
10114,2.37
9552,2.5
9961,2.41
9741,2.46
9611,2.49
10058,2.38
9854,2.43
9250,2.59
8646,2.77
9332,2.57
8399,2.85
9240,2.61
9426,2.52
9243,2.59
10606,2.26
10823,2.23
9819,2.42
10746,2.23
9622,2.49
9670,2.48
8055,2.98
9264,2.59
9525,2.51
9555,2.5
9602,2.51
9746,2.45
9326,2.56
9819,2.42
10199,2.35
9520,2.51
9311,2.57
9333,2.58
10159,2.34
