Throughput,Latency
7634,5.24
7387,5.41
7429,5.39
7340,5.44
7363,5.43
7266,5.51
7483,5.33
7589,5.28
7447,5.35
7151,5.61
7298,5.48
7077,5.65
7544,5.3
7172,5.57
7560,5.29
7709,5.19
7672,5.2
7695,5.19
7767,5.14
7741,5.16
7402,5.4
7691,5.19
7783,5.14
7672,5.21
7526,5.31
7281,5.48
7550,5.31
7613,5.24
7487,5.34
7768,5.15
7568,5.27
6833,5.85
7070,5.64
7339,5.46
7474,5.34
7330,5.46
7576,5.27
7695,5.19
7779,5.14
7874,5.08
7683,5.2
7923,5.04
7738,5.17
7964,5.02
7639,5.23
7458,5.36
7615,5.25
6756,5.92
7410,5.4
7390,5.41
7262,5.48
7553,5.31
7161,5.59
7208,5.55
7135,5.6
7497,5.32
7692,5.19
7342,5.45
7588,5.27
7847,5.09
7811,5.13
7207,5.52
7315,5.48
7328,5.44
7336,5.47
7172,5.55
7730,5.17
7499,5.34
7379,5.43
7653,5.22
6821,5.84
6915,5.8
6873,5.82
6926,5.76
6363,6.29
6726,5.94
7380,5.38
7527,5.32
5763,6.93
5914,6.78
