Throughput,Response time (ms),Queue time (ms),Queue length
11725.3333333,2087.895,166.633333333,0.166666666667
11447.3333333,2077.84,159.605,0.166666666667
11698.6666667,2076.905,149.04,1.0
11923.0,2043.975,156.79,0.0
11770.3333333,2049.445,167.155,4.66666666667
11530.6666667,2079.94666667,159.065,1.16666666667
11371.3333333,2136.23,199.616666667,0.0
11932.3333333,2033.48166667,149.45,0.5
11859.0,2071.11333333,171.133333333,0.0
11863.6666667,2039.38,152.226666667,0.833333333333
11287.3333333,2085.43,180.576666667,0.0
11536.0,2112.195,166.578333333,1.5
11569.6666667,2044.81833333,150.971666667,1.33333333333
11571.0,2076.11333333,140.06,2.66666666667
11806.0,2094.67333333,161.003333333,0.0
11329.6666667,2106.31333333,161.76,0.5
11584.6666667,2066.57833333,158.21,0.0
12187.3333333,2043.25833333,143.681666667,1.16666666667
11449.3333333,2091.255,143.876666667,2.0
11754.6666667,2066.485,144.783333333,0.0
11823.3333333,2050.01666667,139.69,0.0
11961.6666667,2005.25333333,149.27,0.0
11578.3333333,2082.22,154.89,0.666666666667
11810.6666667,2086.74666667,149.733333333,2.33333333333
11939.3333333,2025.97833333,157.878333333,0.333333333333
11439.6666667,2052.705,157.373333333,0.333333333333
11612.3333333,2045.38166667,149.478333333,0.0
11574.0,2040.72,145.253333333,0.333333333333
11708.6666667,2073.93666667,145.265,0.166666666667
11741.3333333,2051.98666667,155.686666667,1.33333333333
11454.0,2095.18666667,158.543333333,0.0
11280.3333333,2119.55333333,156.076666667,0.333333333333
11347.3333333,2153.63,163.433333333,0.0
11411.3333333,2061.44166667,148.316666667,1.83333333333
11331.3333333,2088.19833333,162.645,1.0
11610.0,2077.7,147.83,0.0
11651.0,2065.65166667,151.236666667,0.0
11695.3333333,2057.15666667,149.678333333,0.833333333333
11676.3333333,2070.60833333,154.665,2.16666666667
12044.0,2022.065,147.276666667,0.0
11604.0,2065.06833333,171.145,0.333333333333
11523.3333333,2076.37,155.536666667,1.16666666667
11644.3333333,2067.255,151.593333333,0.0
11470.6666667,2080.78333333,152.528333333,1.83333333333
12061.3333333,2027.88833333,147.848333333,2.66666666667
11410.0,2084.16166667,140.505,0.833333333333
11218.0,2102.15333333,150.365,0.5
11890.6666667,2042.11666667,134.31,0.666666666667
11431.3333333,2121.61666667,160.776666667,0.5
11226.3333333,2120.26333333,169.808333333,0.333333333333
11556.0,2091.58,155.276666667,0.0
11322.3333333,2075.79,163.028333333,0.0
11334.3333333,2113.19666667,147.961666667,2.0
11572.6666667,2086.40833333,154.636666667,1.16666666667
11628.0,2106.07,163.538333333,0.0
11388.0,2068.335,144.335,4.0
11683.3333333,2059.98333333,141.825,1.33333333333
11420.0,2119.33166667,162.623333333,4.0
11640.6666667,2098.70333333,150.606666667,4.83333333333
11503.6666667,2152.93666667,156.586666667,0.166666666667
11614.0,2094.34666667,143.83,1.16666666667
11560.3333333,2101.495,152.023333333,1.66666666667
11661.3333333,2116.56666667,148.936666667,0.833333333333
11596.3333333,2081.04,157.043333333,0.0
11500.3333333,2103.08833333,159.11,0.0
11775.6666667,2070.12,159.773333333,0.5
11471.0,2068.98666667,144.285,3.66666666667
11695.0,2074.69333333,146.865,0.166666666667
11870.0,2067.63833333,166.918333333,2.83333333333
12017.3333333,2011.84333333,149.131666667,1.5
11604.6666667,2032.97666667,150.723333333,0.833333333333
11675.3333333,2072.73,156.686666667,1.33333333333
11220.6666667,2087.01666667,165.343333333,0.166666666667
11732.6666667,2058.74,145.655,1.83333333333
11976.6666667,2015.665,142.423333333,0.166666666667
11392.6666667,2067.51833333,171.2,0.5
11254.6666667,2056.62666667,157.673333333,1.83333333333
11481.3333333,2074.795,156.168333333,1.66666666667
11573.6666667,2063.21833333,149.465,1.83333333333
11826.0,2039.39166667,148.1,0.666666666667
