Throughput,Latency
623,3.19
617,3.24
619,3.23
637,3.12
610,3.27
633,3.15
649,3.08
608,3.28
570,3.49
607,3.28
632,3.16
601,3.32
615,3.24
648,3.07
612,3.26
635,3.14
650,3.07
610,3.27
613,3.25
609,3.27
623,3.2
647,3.08
633,3.15
609,3.28
641,3.1
645,3.1
653,3.06
643,3.1
643,3.1
619,3.22
607,3.29
622,3.21
633,3.15
633,3.16
668,2.99
659,3.02
677,2.95
607,3.29
605,3.29
618,3.23
617,3.23
645,3.09
633,3.14
611,3.27
603,3.31
646,3.08
604,3.28
587,3.43
641,3.12
606,3.28
627,3.19
626,3.18
613,3.26
605,3.29
607,3.29
632,3.16
611,3.26
635,3.13
642,3.11
631,3.16
634,3.14
632,3.15
635,3.13
633,3.15
630,3.17
609,3.28
621,3.21
619,3.22
625,3.19
620,3.22
616,3.24
611,3.27
635,3.13
615,3.25
635,3.15
618,3.22
634,3.15
635,3.14
640,3.12
638,3.12
