Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1624.0125,65.9338935813,29.5895,1.2366040677
1,1,2,1868.175,107.771767163,25.769875,1.51961312011
1,1,Total,3492.1875,124.863580622,27.6796875,0.982765519167
1,2,1,1634.725,66.7913764994,29.385125,1.21814861988
1,2,2,1891.5875,102.969541244,25.439875,1.39953201378
1,2,Total,3526.3125,119.322199039,27.4125,0.886256527712
1,3,1,1608.8875,65.353952308,29.859125,1.24154884257
1,3,2,1847.0875,102.972921812,26.05375,1.46620182267
1,3,Total,3455.975,120.357481769,27.9564375,0.933198594243
1,Total,Total,10474.475,350.645443739,27.682875,0.898441727058
2,1,1,1653.2375,58.5050563108,29.054875,1.05500974109
2,1,2,1626.0875,65.576546006,29.548875,1.1634192228
2,1,Total,3279.325,80.8384504013,29.301875,0.720687248923
2,2,1,1666.425,57.9573773987,28.82675,1.03124574414
2,2,2,1647.775,71.523736876,29.16825,1.23277681309
2,2,Total,3314.2,84.272373358,28.9975,0.728476822564
2,3,1,1639.625,62.7372206968,29.302875,1.18468624672
2,3,2,1598.4875,81.0153905913,30.089,1.58025602797
2,3,Total,3238.1125,94.3831396859,29.6959375,0.922836537273
2,Total,Total,9831.6375,238.768636691,29.3317708333,0.716224490406
3,1,1,1600.775,61.5561850999,30.012875,1.19911485683
3,1,2,1835.5375,119.581437083,26.248,1.75292478916
3,1,Total,3436.3125,131.521244734,28.1304375,1.01720334952
3,2,1,1610.8625,56.6051712425,29.817125,1.07308167815
3,2,2,1853.7875,116.269078331,25.983375,1.65603303929
3,2,Total,3464.65,125.664925169,27.90025,0.953218033953
3,3,1,1586.075,59.683930157,30.290375,1.15738951546
3,3,2,1807.7,118.6955898,26.65575,1.78323044579
3,3,Total,3393.775,134.422814425,28.4730625,1.0824420041
3,Total,Total,10294.7375,374.112578458,28.1679166667,0.963491566436
Total,Total,Total,10200.2833333,205.955685291,28.3941875,0.529538073725
