Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1636.55,58.6229963086,14.6735,0.533291902399
1,1,2,1833.7875,88.4886739159,13.10725,0.6661641091
1,1,Total,3470.3375,102.072689878,13.890375,0.414101723423
1,2,1,1660.925,64.6129224446,14.462875,0.587371733911
1,2,2,1881.7375,104.550241541,12.78775,0.775285941533
1,2,Total,3542.6625,120.791371952,13.6253125,0.475087829155
1,3,1,1608.4875,63.1844784958,14.93325,0.61048388154
1,3,2,1776.0375,101.080422143,13.54925,0.838399281029
1,3,Total,3384.525,119.881690096,14.24125,0.517095405344
1,Total,Total,10397.525,319.896105563,13.9189791667,0.424556067786
2,1,1,1629.575,75.3909263251,14.750375,0.760084012262
2,1,2,1765.1625,121.756287364,13.64825,0.920450873283
2,1,Total,3394.7375,131.924675838,14.1993125,0.542204678849
2,2,1,1655.3625,66.9300113854,14.512125,0.635673058531
2,2,2,1808.9,124.165834392,13.32225,0.930457863336
2,2,Total,3464.2625,130.989780619,13.9171875,0.518717895911
2,3,1,1595.0625,77.8881612606,15.0745,0.818760872959
2,3,2,1704.5625,124.920414538,14.145875,1.06321305931
2,3,Total,3299.625,139.228468553,14.6101875,0.62734393074
2,Total,Total,10158.625,383.02279983,14.2422291667,0.53703540702
3,1,1,1643.2125,73.6534295866,14.623625,0.689219414917
3,1,2,1692.0125,72.8972736116,14.201,0.614414612827
3,1,Total,3335.225,100.548744398,14.4123125,0.454328649064
3,2,1,1664.5625,75.4201470162,14.439125,0.676837758452
3,2,2,1735.45,77.7646400397,13.8475,0.62150185596
3,2,Total,3400.0125,106.595116347,14.1433125,0.460099702837
3,3,1,1608.45,76.3013512497,14.9445,0.731571743023
3,3,2,1633.8875,73.9395911059,14.706875,0.661281061581
3,3,Total,3242.3375,103.6812232,14.8256875,0.481152192921
3,Total,Total,9977.575,284.993705238,14.4604375,0.426034667058
Total,Total,Total,10177.9083333,181.826689673,14.2072152778,0.250109422744
