Threads: 64, Sharded reads: false, Number of Memcached servers: 3.

All measures in microseconds.
  SETS   GETS  MGETS   INVLD    TOT   HITS     RSP T      Q T     SVR T  Q LEN
 26745      0      0       0  26745  26745   3814.18   460.45   3311.40      0
  4380      0      0       0   4380   4380   3273.25   283.13   2961.50     16
  4924      0      0       0   4924   4924   3503.10   356.31   3114.07      0
  5181      0      0       0   5181   5181   3384.41   443.65   2913.17      1
  4983      0      0       0   4983   4983   3352.14   317.25   3005.02     16
  4675      0      0       0   4675   4675   3783.85   542.51   3194.66      0
  5353      0      0       0   5353   5353   3294.14   299.93   2964.12      0
  4532      0      0       0   4532   4532   3842.89   371.14   3439.54      0
  5128      0      0       0   5128   5128   3407.00   272.91   3107.77      0
  4738      0      0       0   4738   4738   3638.37   364.80   3227.02      0
  5004      0      0       0   5004   5004   3461.13   258.58   3174.96      1
  4716      0      0       0   4716   4716   3673.63   417.42   3229.35     24
  4802      0      0       0   4802   4802   3743.52   548.85   3164.52      0
  4606      0      0       0   4606   4606   3797.98   506.18   3256.25      4
  4915      0      0       0   4915   4915   3542.69   328.95   3190.88      3
  4807      0      0       0   4807   4807   3590.63   319.22   3232.30      3
  4620      0      0       0   4620   4620   3821.50   374.16   3417.53      0
  4387      0      0       0   4387   4387   4107.62   478.64   3570.26      0
  4772      0      0       0   4772   4772   3723.49   490.43   3196.12      0
  5241      0      0       0   5241   5241   3404.94   414.03   2964.83      2
  5293      0      0       0   5293   5293   3279.66   339.84   2917.02      0
  4970      0      0       0   4970   4970   3454.35   444.71   2987.57      0
  2858      0      0       0   2858   2858   5722.60   574.54   5101.58      6
  4883      0      0       0   4883   4883   3670.00   365.72   3272.28      1
  5080      0      0       0   5080   5080   3467.45   301.60   3140.67      0
  5027      0      0       0   5027   5027   3532.58   301.44   3201.85      0
  5237      0      0       0   5237   5237   3323.42   333.69   2965.61      0
  5057      0      0       0   5057   5057   3429.64   297.10   3105.94      0
  4609      0      0       0   4609   4609   3837.58   399.66   3403.24      0
  4986      0      0       0   4986   4986   3561.82   312.48   3216.15      0
  4075      0      0       0   4075   4075   4108.07   377.08   3703.25      0
  3634      0      0       0   3634   3634   4502.73   543.18   3911.78      6
  5140      0      0       0   5140   5140   3454.77   344.50   3082.84      1
  5443      0      0       0   5443   5443   3299.11   354.67   2912.05     10
  4741      0      0       0   4741   4741   3590.39   367.67   3193.05      7
  5022      0      0       0   5022   5022   3489.68   408.47   3053.87      0
  5278      0      0       0   5278   5278   3324.20   311.54   2984.01      0
  5032      0      0       0   5032   5032   3493.41   297.04   3165.31      0
  4822      0      0       0   4822   4822   3652.19   344.51   3278.06      0
  5163      0      0       0   5163   5163   3488.71   359.54   3093.22      9
  4984      0      0       0   4984   4984   3643.33   354.16   3263.17      1
  5051      0      0       0   5051   5051   3414.24   308.40   3072.46     14
  5214      0      0       0   5214   5214   3494.99   419.71   3038.94      0
  5307      0      0       0   5307   5307   3334.76   311.02   3000.13      0
  4973      0      0       0   4973   4973   3513.30   367.34   3110.05      0
  4878      0      0       0   4878   4878   3434.01   411.62   2997.67      6
  5227      0      0       0   5227   5227   3400.97   392.91   2985.86      0
  5173      0      0       0   5173   5173   3428.44   343.02   3057.91      0
  4992      0      0       0   4992   4992   3553.62   385.12   3142.10      0
  5252      0      0       0   5252   5252   3449.65   344.10   3067.61      0
  5304      0      0       0   5304   5304   3312.42   379.41   2902.02      2
  4190      0      0       0   4190   4190   3356.39   357.62   2966.34      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
     0      0      0       0      0      0       NaN      NaN       NaN      0
    49      0      0       0     49     49 303478.78   100.92 303344.57      0
   304      0      0       0    304    304   2482.41    69.97   2358.65      0
   297      0      0       0    297    297   2566.60    57.65   2489.29      0
   308      0      0       0    308    308   2433.11    38.76   2370.88      0
   319      0      0       0    319    319   2310.66    22.44   2266.60      0
   317      0      0       0    317    317   2396.64    64.76   2310.83      0
   322      0      0       0    322    322   2283.98    20.24   2244.80      0
   325      0      0       0    325    325   2298.79    29.19   2249.55      0
   318      0      0       0    318    318   2320.02    20.83   2275.75      0
   317      0      0       0    317    317   2346.14    19.01   2304.56      0
   333      0      0       0    333    333   2283.58    18.96   2240.43      0
   327      0      0       0    327    327   2300.46    21.30   2255.70      0
   390      0      0       0    390    390  70244.48    21.14  70204.63      0
  3485      0      0       0   3485   3485 174320.37   228.69 174071.72      0
  4907      0      0       0   4907   4907   3657.82   726.10   2869.95      0
  5540      0      0       0   5540   5540   2985.84   269.72   2694.08      1
  4352      0      0       0   4352   4352   2759.06   358.50   2372.02      0
  4648      0      0       0   4648   4648   2529.52   165.77   2340.65      8
  2920      0      0       0   2920   2920   2503.38   217.67   2267.20      0
  2547      0      0       0   2547   2547   2452.91   175.47   2257.74      0
  2322      0      0       0   2322   2322   2676.99   258.19   2388.35      0
  1920      0      0       0   1920   1920   2742.71   299.07   2422.64      0
