Throughput,Latency
2889,9.64
3168,8.87
3113,8.98
3142,8.91
3093,9.03
3110,9.0
3055,9.17
3230,8.65
3378,8.29
3285,8.52
3144,8.9
3028,9.23
3122,8.97
3100,9.02
3050,9.19
3044,9.18
3195,8.77
3284,8.52
3173,8.81
3126,8.96
3102,9.0
2878,9.74
3118,8.97
3158,8.84
3194,8.77
3227,8.67
3320,8.45
3509,7.97
3418,8.19
3388,8.24
3325,8.43
3235,8.65
3318,8.44
3356,8.33
3306,8.47
3375,8.29
3330,8.4
3225,8.67
3287,8.5
3266,8.59
3306,8.45
3309,8.45
3327,8.41
3230,8.66
3237,8.64
3069,9.12
3267,8.56
3189,8.76
3106,9.02
3126,8.95
3068,9.13
3121,8.96
3050,9.16
3138,8.93
3260,8.57
3385,8.27
3279,8.53
3250,8.61
3216,8.56
3191,8.91
3064,9.12
3112,9.01
3115,8.98
3126,8.95
3039,9.2
3142,8.91
3128,8.95
3157,8.86
3242,8.63
3153,8.87
3148,8.89
3204,8.74
3360,8.32
3240,8.64
3189,8.77
3345,8.36
3238,8.65
3389,8.25
3282,8.52
3337,8.4
