Operation,Clients,Throughput,Latency(ms)
read,1,9004.157303370563,1.068801498127528
read,2,11128.404494378652,1.5311360798997753
read,4,11137.569288389888,2.847328339574944
read,8,11138.83520598764,5.058689138576292
read,16,11142.644194758426,9.83747815230955
read,24,11142.056179779775,13.151548064921348
read,32,11148.093632965169,17.260986267169663
write,1,9199.853932584607,1.0735955056183146
write,2,14289.172284646067,1.251535580524045
write,4,17191.228464419102,1.8937952559295506
write,8,22347.37827715618,2.7116729088635956
write,16,29967.64044944045,3.752759051185618
write,24,32714.93632958764,5.152646691636292
write,32,34099.198501873034,6.239263420724495
