Throughput,latency(ms)
4939.33333333,3.23666666667
4930.0,3.24166666667
4869.33333333,3.28333333333
4823.33333333,3.32
4912.0,3.255
4941.33333333,3.23166666667
4900.0,3.27
4908.33333333,3.25833333333
4856.66666667,3.295
4879.66666667,3.28666666667
4861.0,3.29333333333
4654.66666667,3.46
4941.33333333,3.24
4975.66666667,3.21333333333
4950.0,3.23333333333
5043.66666667,3.15333333333
4971.0,3.23833333333
4984.66666667,3.20833333333
5019.0,3.185
4958.66666667,3.22333333333
5114.0,3.12833333333
5019.33333333,3.18166666667
5022.66666667,3.175
4998.33333333,3.21166666667
4870.0,3.28666666667
4978.66666667,3.21333333333
4943.33333333,3.24166666667
4979.0,3.21833333333
5004.66666667,3.19833333333
4837.66666667,3.30833333333
5037.66666667,3.18333333333
4990.33333333,3.20666666667
4978.0,3.215
5025.0,3.18666666667
4920.66666667,3.24833333333
5013.0,3.19
4913.0,3.25166666667
5023.66666667,3.18333333333
4949.0,3.23666666667
4936.0,3.24333333333
5006.33333333,3.19
4905.66666667,3.25166666667
4936.0,3.255
4967.66666667,3.22333333333
4958.0,3.22666666667
4989.66666667,3.21166666667
4965.33333333,3.22333333333
5031.0,3.17833333333
5042.66666667,3.175
4883.0,3.27333333333
5021.0,3.195
4942.0,3.23666666667
4929.0,3.24333333333
4856.0,3.3
4869.33333333,3.29
4975.0,3.215
4876.33333333,3.28166666667
4900.0,3.26666666667
4882.0,3.27833333333
4915.0,3.25666666667
4921.0,3.25333333333
5059.33333333,3.15333333333
4879.33333333,3.28833333333
4999.33333333,3.2
4970.33333333,3.21833333333
5016.33333333,3.19
5084.66666667,3.15
4822.33333333,3.31
4876.33333333,3.28
4886.0,3.26166666667
4983.66666667,3.22166666667
4992.66666667,3.20166666667
4838.66666667,3.30666666667
4935.66666667,3.24
5006.66666667,3.2
5047.0,3.17
5064.66666667,3.15833333333
4931.66666667,3.24666666667
5035.66666667,3.18
4967.33333333,3.21666666667
