Throughput,latency(ms)
11388.6666667,2.71333333333
11179.0,2.88222222222
11170.6666667,2.81222222222
11051.6666667,2.80888888889
11181.3333333,2.81222222222
11120.6666667,2.81
11074.6666667,2.85444444444
11162.0,2.84666666667
11083.3333333,2.81777777778
11104.6666667,2.86111111111
11216.3333333,2.84111111111
11103.0,2.84333333333
11048.3333333,2.84444444444
11142.0,2.84111111111
11128.0,2.84444444444
11076.0,2.84777777778
11117.0,2.86
11167.3333333,2.85666666667
11134.0,2.82777777778
11147.3333333,2.85222222222
11158.0,2.85888888889
11106.0,2.82444444444
11130.0,2.82666666667
11126.6666667,2.87222222222
11179.6666667,2.82888888889
11173.3333333,2.85777777778
11084.6666667,2.83222222222
11138.3333333,2.86444444444
11113.3333333,2.89444444444
11108.0,2.85111111111
11128.6666667,2.89777777778
11136.3333333,2.86666666667
11123.6666667,2.87888888889
11110.0,2.85
11141.0,2.86
11094.6666667,2.88666666667
11192.3333333,2.83444444444
11148.0,2.81555555556
11128.3333333,2.87222222222
11151.6666667,2.80777777778
11133.0,2.85333333333
11111.6666667,2.84666666667
11123.3333333,2.88222222222
11180.6666667,2.83333333333
11073.3333333,2.89111111111
11115.3333333,2.88111111111
11249.3333333,2.88
11063.0,2.89222222222
11181.6666667,2.86333333333
11075.3333333,2.87666666667
11152.0,2.87888888889
11155.3333333,2.86
11154.0,2.81444444444
11158.6666667,2.87111111111
11045.6666667,2.88555555556
11174.3333333,2.91111111111
11220.6666667,2.85333333333
11085.0,2.90333333333
11130.3333333,2.87666666667
11151.3333333,2.86222222222
11213.6666667,2.88111111111
11110.6666667,2.85666666667
11068.0,2.85111111111
11211.6666667,2.83444444444
11059.6666667,2.85111111111
11110.6666667,2.85111111111
11166.6666667,2.79777777778
11137.3333333,2.85555555556
11153.3333333,2.85222222222
11100.6666667,2.83555555556
11131.0,2.86444444444
11117.3333333,2.87777777778
11141.3333333,2.83222222222
11177.0,2.81
11107.6666667,2.83222222222
11121.6666667,2.84444444444
11090.3333333,2.81333333333
11223.0,2.81777777778
11252.3333333,2.81888888889
11139.6666667,2.81
11182.0,2.83222222222
11124.3333333,2.82888888889
11074.3333333,2.84888888889
11178.6666667,2.81
11090.6666667,2.79111111111
11189.0,2.84333333333
11149.0,2.84111111111
11159.3333333,2.81111111111
11060.0,2.84222222222
