Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,2797.8875,113.0140569,24.222594625,0.986613207015,0.0,0.0,2797.8875,0.0,2797.8875,0.060475,0.00316617806579,21.410096,0.869043120162,2.777479625,0.117177683898
1,2,3408.6125,94.0284758579,20.021137375,0.581713488655,0.0,0.0,3408.6125,0.0,3408.6125,0.0614375,0.00292455232969,17.71609925,0.516875982023,2.286527875,0.065124202188
1,Total,6206.5,179.419880924,22.121866,0.700314907347,0.0,0.0,6206.5,0.0,6206.5,0.06095625,0.00213795381592,19.563097625,0.619885012197,2.53200375,0.0804385029606
2,1,2802.6875,118.878577959,24.1793535,1.01123931951,0.0,0.0,2802.6875,0.0,2802.6875,0.061875,0.00250758343501,21.37089975,0.890617001005,2.77337375,0.118142326635
2,2,3408.8125,104.476403217,20.03517325,0.645863441895,0.0,0.0,3408.8125,0.0,3408.8125,0.0610625,0.00305785458836,17.725724375,0.574027018483,2.29120125,0.0718480077571
2,Total,6211.5,193.705439956,22.107263375,0.723606191758,0.0,0.0,6211.5,0.0,6211.5,0.06146875,0.00221522886494,19.5483120625,0.63977385678,2.5322875,0.0829884134127
3,1,2824.725,101.342379329,24.006972,0.893320425651,0.0,0.0,2824.725,0.0,2824.725,0.0607125,0.00293038965742,21.219579125,0.788795235285,2.753263125,0.103557822063
3,2,3396.1125,68.2838442538,20.170132875,0.419754016587,0.0,0.0,3396.1125,0.0,3396.1125,0.0613875,0.00329746258412,17.844587375,0.372920438668,2.307153875,0.0470585316521
3,Total,6220.8375,143.117057847,22.0885524375,0.568902251308,0.0,0.0,6220.8375,0.0,6220.8375,0.06105,0.00224115702487,19.53208325,0.503755933615,2.5302085,0.0648350270204
Total,Total,6212.94583333,114.445221405,22.1058939375,0.442139645616,0.0,0.0,6212.94583333,0.0,6212.94583333,0.0611583333333,0.00128413997335,19.5478309792,0.391301999831,2.53149991667,0.0505187251987
