MW host,Average Throughput,Std Throughput,Average Response Time,Std Response Time,Average Queue Time,Std Queue Time,Average Queue Length,Std Queue Length,Average Server Time,Std Server Time
1,6344.554166666667,194.8562746359301,2.50390025,0.10447450662561308,0.2041343333333333,0.034328642608168855,1.1291666666666667,3.341758007843276,2.275707583333334,0.10638803441224869
2,6096.6625,315.9608157376322,2.6624265,0.18128106960206006,0.18240354166666664,0.02504482126790592,1.425,3.7520705580790112,2.455428833333334,0.17502272182285858
Total,12441.216666666667,269.72808819636145,2.583163375,0.16774664375569362,0.1932689375,0.03192597401198653,2.5541666666666667,5.007649309197396,2.365568208333334,0.17036338444642385
