Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,460.2875,17.3680878246,4.330125,0.168901842141
1,1,2,576.85,17.0740012589,3.446,0.102581859871
1,1,Total,1037.1375,26.8817117024,3.8880625,0.108486403949
1,2,1,484.2125,23.629360491,4.1215,0.214453087136
1,2,2,629.6125,18.5223052329,3.16025,0.0960481814745
1,2,Total,1113.825,36.2602320784,3.640875,0.136501901039
1,3,1,446.275,20.3575476626,4.47025,0.211636032203
1,3,2,560.3625,17.3914308523,3.548875,0.111786344018
1,3,Total,1006.6375,31.2528454401,4.0095625,0.137173533609
1,Total,Total,3157.6,82.8953282341,3.84616666667,0.114464570213
2,1,1,451.6125,20.5158128269,4.416125,0.208718171984
2,1,2,574.3625,18.2550452537,3.4615,0.111265448366
2,1,Total,1025.975,31.0646426877,3.9388125,0.131207256452
2,2,1,474.9875,25.6769086777,4.20425,0.240462502669
2,2,2,626.2625,21.1999186468,3.17825,0.111693239486
2,2,Total,1101.25,39.0308219654,3.69125,0.150397153555
2,3,1,439.125,21.5261836441,4.54425,0.229726171613
2,3,2,559.1,17.6417226978,3.557125,0.116153474967
2,3,Total,998.225,31.7390367796,4.0506875,0.143020631755
2,Total,Total,3125.45,93.9826135281,3.89358333333,0.132142386871
3,1,1,454.3375,21.5664670264,4.3895,0.216601483217
3,1,2,574.25,21.274873752,3.464,0.128679761473
3,1,Total,1028.5875,32.3371063852,3.92675,0.13430105045
3,2,1,482.3875,24.4703353088,4.137875,0.221454877251
3,2,2,624.6625,23.7422572322,3.188125,0.124382970771
3,2,Total,1107.05,39.5787630051,3.663,0.145890109502
3,3,1,437.1875,20.9200368795,4.564125,0.224711875999
3,3,2,557.2125,20.9844389302,3.57025,0.135440911494
3,3,Total,994.4,33.2274859534,4.0671875,0.146900129146
3,Total,Total,3130.0375,98.9831137306,3.88564583333,0.136416745281
Total,Total,Total,3137.69583333,51.0790511073,3.87513194444,0.0692832866314
