Time,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1.0,8677.0,215.134066727,20.4503566667,0.218273783024,16.6532,0.194041179307,3.75139,0.0235676218571
2.0,8250.33333333,167.653080961,20.3780766667,0.517163329735,16.5775733333,0.453714775627,3.75413,0.0635737980618
3.0,8166.33333333,133.841531505,20.2596333333,0.16265418989,16.4310433333,0.148688132755,3.78545,0.0575267398694
4.0,8231.33333333,49.7482551341,20.6568433333,0.118052664613,16.83001,0.109216062311,3.78108666667,0.0224496627047
5.0,8195.0,201.297458172,20.5651566667,0.423109595443,16.7388333333,0.347255013339,3.78264333333,0.0739460489516
6.0,8227.66666667,258.9547365,20.66752,0.384181840626,16.82417,0.286487679433,3.79645,0.0992194910287
7.0,8426.33333333,148.919068251,20.09028,0.410302701185,16.3670133333,0.352041866481,3.68033333333,0.0604228104462
8.0,8142.0,361.663748068,20.69553,0.969956515967,16.8215866667,0.799494977943,3.83313333333,0.171748940091
9.0,8432.33333333,66.464694053,19.7204733333,0.341138471624,16.0288466667,0.304998357628,3.65338,0.0361052987801
10.0,8308.0,125.867655363,20.4040133333,0.194228572792,16.6201533333,0.144414601601,3.74335666667,0.0496703965042
11.0,8381.66666667,137.671912733,20.28234,0.35409779619,16.5228933333,0.290538129951,3.71828666667,0.0661072146004
12.0,8414.66666667,29.803057263,20.1268733333,0.139465942637,16.3920133333,0.121193894877,3.69062333333,0.0201567264758
13.0,8407.33333333,149.542264557,20.0989666667,0.391345928247,16.3521233333,0.319622519266,3.70412666667,0.0716987421244
14.0,8212.66666667,317.830492908,20.4533466667,0.656952033629,16.62255,0.538943744189,3.78498,0.115980069265
15.0,8111.0,199.726479633,20.6907566667,0.393215906285,16.8364033333,0.292676648577,3.81006666667,0.0974023074105
16.0,8185.33333333,319.527081099,20.7387,0.712069101703,16.8937766667,0.571180042154,3.80243333333,0.14738508435
17.0,8418.66666667,62.7393195869,19.9509733333,0.243979534297,16.2289533333,0.193206436286,3.68276666667,0.0503113415533
18.0,8284.0,312.7853364,20.3631733333,0.550248605289,16.57802,0.421753220339,3.74229333333,0.131920271208
19.0,8292.66666667,236.04001544,20.37175,0.628652884031,16.5742066667,0.524484781116,3.75553,0.105016300957
20.0,8308.33333333,147.888095832,20.31238,0.387931180581,16.5394366667,0.321425516757,3.73037666667,0.0678584705267
21.0,8312.33333333,224.916774731,20.36689,0.57744412786,16.58825,0.483309086265,3.73567,0.0943266031757
22.0,8021.66666667,225.981316829,21.0625633333,0.577316265279,17.1456666667,0.469659351753,3.86883,0.104382778592
23.0,8202.0,323.930033598,20.73104,0.902588450439,16.8847633333,0.74639527876,3.80489666667,0.152684780803
24.0,8526.0,210.833267457,20.1716466667,0.396873280224,16.4299066667,0.335787929536,3.70009,0.0635156206509
25.0,8535.0,102.888288935,19.78151,0.131475231381,16.0890433333,0.0874845648608,3.65306333333,0.0476062862329
26.0,8364.0,98.6813052204,20.11241,0.18816095787,16.3732366667,0.158531950372,3.69652,0.0318510292874
27.0,8327.66666667,145.525102836,20.3905033333,0.473116656533,16.6150133333,0.407482151947,3.72972333333,0.0657658332436
28.0,8384.0,45.8112067803,20.2846033333,0.265179141504,16.5300566667,0.218851987171,3.71240333333,0.0499797054369
29.0,8345.66666667,243.327397188,20.5883566667,0.286367331975,16.77465,0.257211710076,3.76487,0.0370413993616
30.0,8292.33333333,150.674778543,20.4088466667,0.323737762634,16.62913,0.251030181983,3.73782,0.0723089095479
31.0,8364.33333333,236.860484017,20.1908033333,0.539938775686,16.4352233333,0.426062898825,3.71260666667,0.110367268497
32.0,8396.33333333,41.2499158248,20.1373166667,0.226522498122,16.3972066667,0.21256585181,3.69991666667,0.0116901135818
33.0,8431.66666667,208.36079819,20.0983933333,0.34190895887,16.3455133333,0.255463614413,3.71176666667,0.088357295995
34.0,8436.66666667,68.3975308196,20.30583,0.068061085798,16.54364,0.0777551545987,3.72223,0.0177179061968
35.0,8262.66666667,158.388411473,20.31724,0.373378521432,16.5088933333,0.316538101375,3.76478,0.0606646931913
36.0,8241.0,381.621103539,20.34181,0.708081014056,16.5182533333,0.543784614796,3.77832,0.160162640463
37.0,8262.0,172.33301096,20.39803,0.409372961817,16.59233,0.323127035184,3.75397,0.0760378094547
38.0,8204.66666667,203.621107834,20.6557766667,0.803100686603,16.8057,0.6784324353,3.80509,0.119887579284
39.0,8552.0,150.055545271,19.7041666667,0.431127357389,16.0324266667,0.36968190158,3.63307,0.0622640704312
40.0,8347.0,97.6148895746,20.1753833333,0.273120835936,16.4160233333,0.221934777406,3.71828,0.0541888604789
41.0,8509.66666667,234.507047987,19.8967033333,0.0971858842059,16.1678966667,0.0692396198398,3.68631333333,0.0442349336561
42.0,8337.0,124.268526452,20.1940333333,0.407195956294,16.4286733333,0.349480813621,3.72424333333,0.0564766130555
43.0,8405.0,107.567033364,20.3046233333,0.302549168713,16.53334,0.249206470221,3.72215,0.0476317170241
44.0,8253.33333333,159.62525559,20.3906933333,0.256767594832,16.6268966667,0.217874350079,3.71835333333,0.0446132523908
45.0,8230.66666667,186.523159122,20.4740466667,0.314548854746,16.6593266667,0.2463002155,3.77399,0.0738871409651
46.0,8424.33333333,71.1867653118,20.0871666667,0.397746904478,16.3503633333,0.352163119906,3.69506,0.0458965641416
47.0,8300.0,47.6864760703,20.0339266667,0.16306029362,16.2682933333,0.179147406034,3.7184,0.0102443252584
48.0,8605.66666667,211.096081336,19.8696333333,0.142740880931,16.1745533333,0.117129150751,3.65316666667,0.0243375708639
49.0,8468.66666667,118.733127456,19.8774666667,0.220837701844,16.17962,0.179733495116,3.65619666667,0.0427616349339
50.0,8461.0,107.557736433,19.94011,0.229251541034,16.2310466667,0.186073658235,3.66483333333,0.0503286547494
51.0,8364.66666667,398.890405444,20.3366833333,1.11217549557,16.5677433333,0.91824252542,3.72905,0.191568508024
52.0,8113.33333333,204.016883833,20.7902033333,0.486511223463,16.9209033333,0.386231433239,3.82896,0.100350213087
53.0,8355.33333333,178.352335436,20.3461866667,0.466794102529,16.5851933333,0.385692475455,3.72207333333,0.0795534052627
54.0,8456.0,50.1265066274,19.9185933333,0.102905834086,16.21087,0.0852832566608,3.66777333333,0.0169834749749
