Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,1691.65,82.4162175266,2.70974375,0.119554867838,0.0,0.0,1691.65,0.0,1691.65,0.1625,0.583393607495,0.13509125,0.0322487295157,2.53933575,0.0956089957339
1,2,2018.3375,66.981755262,2.29111,0.0778807599288,0.0,0.0,2018.3375,0.0,2018.3375,0.05,0.314219950377,0.04458925,0.00785390345181,2.2278655,0.0756041154512
1,Total,3709.9875,121.055850041,2.500426875,0.0841257216997,0.0,0.0,3709.9875,0.0,3709.9875,0.10625,0.325048681846,0.08984025,0.0164768139913,2.383600625,0.0741091672116
2,1,1687.5625,95.8161271474,2.70764575,0.145855108083,0.0,0.0,1687.5625,0.0,1687.5625,0.3375,0.940559354179,0.134495375,0.0342150729588,2.539690125,0.117558655594
2,2,2014.2125,66.0955759354,2.289422125,0.0801100566182,0.0,0.0,2014.2125,0.0,2014.2125,0.1,0.438640015606,0.043768375,0.0055957401166,2.227622875,0.0784265897204
2,Total,3701.775,143.249801732,2.4985339375,0.102736758415,0.0,0.0,3701.775,0.0,3701.775,0.21875,0.508433620874,0.089131875,0.0172357526629,2.3836565,0.0903788169508
3,1,1703.2,100.030172663,2.682243875,0.153027831774,0.0,0.0,1703.2,0.0,1703.2,0.25,0.646313792973,0.1314665,0.0357038652696,2.51620425,0.123141487911
3,2,2028.1125,66.5409351024,2.269395625,0.0814757446681,0.0,0.0,2028.1125,0.0,2028.1125,0.1625,0.538251976191,0.042714625,0.00935214710929,2.20811625,0.0800849948551
3,Total,3731.3125,143.903236982,2.47581975,0.104490473686,0.0,0.0,3731.3125,0.0,3731.3125,0.20625,0.447876494617,0.0870905625,0.0180219050257,2.36216025,0.0927982373622
Total,Total,3714.35833333,83.7315510675,2.49159352083,0.0588796642605,0.0,0.0,3714.35833333,0.0,3714.35833333,0.177083333333,0.268275408482,0.0886875625,0.0103931483602,2.37647245833,0.0524371648113
