Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,561.2,25.2663783202,3.559,0.167978298779
1,1,2,672.425,22.0705284905,2.969125,0.0968777612918
1,1,Total,1233.625,39.9155358225,3.2640625,0.112641173729
1,2,1,585.225,34.7752185153,3.420625,0.217041929975
1,2,2,704.6875,25.2955160634,2.8345,0.101206644101
1,2,Total,1289.9125,51.6257696789,3.1275625,0.139843931432
1,3,1,525.3875,26.2430189632,3.804125,0.197097249979
1,3,2,626.6,21.1112784063,3.186,0.105597756018
1,3,Total,1151.9875,32.9788938066,3.4950625,0.110012927175
1,Total,Total,3675.525,100.242740196,3.2955625,0.0989498103147
2,1,1,561.675,32.3144263743,3.561,0.212921807719
2,1,2,674.1625,21.3443401029,2.961125,0.095121424732
2,1,Total,1235.8375,45.6548536802,3.2610625,0.131533539425
2,2,1,584.5125,34.0085595145,3.424875,0.205062471185
2,2,2,701.975,27.97104063,2.846625,0.117537430074
2,2,Total,1286.4875,54.7974391322,3.13575,0.142733486265
2,3,1,525.575,32.2669933641,3.808875,0.247984246897
2,3,2,627.4375,19.7431890195,3.182125,0.101241580366
2,3,Total,1153.0125,45.0803765302,3.4955,0.152988375499
2,Total,Total,3675.3375,135.678785199,3.2974375,0.13212345156
3,1,1,568.575,31.150827447,3.518,0.223976716692
3,1,2,675.6625,22.5977167828,2.953875,0.105740232813
3,1,Total,1244.2375,46.5830532966,3.2359375,0.148213184107
3,2,1,592.1,35.8441069076,3.38275,0.227412384019
3,2,2,708.7125,22.7318957036,2.81825,0.0929512598562
3,2,Total,1300.8125,48.7780023439,3.1005,0.136640524411
3,3,1,528.975,31.1992271082,3.78325,0.24939813628
3,3,2,630.65,21.6672768496,3.166625,0.112878827717
3,3,Total,1159.625,46.4900629099,3.4749375,0.16317555536
3,Total,Total,3704.675,131.934657302,3.27045833333,0.139783330176
Total,Total,Total,3685.17916667,75.5454975802,3.28781944444,0.0759230727684
