Throughput,Latency
570,3.22
666,3.22
668,2.98
682,2.93
689,2.89
670,2.98
673,2.96
653,3.05
583,3.42
649,3.07
673,2.96
665,2.99
677,2.95
676,2.95
656,3.03
695,2.87
667,2.99
673,2.96
674,2.95
686,2.91
683,2.91
686,2.9
687,2.9
673,2.95
707,2.82
691,2.88
684,2.91
681,2.93
704,2.83
704,2.83
696,2.87
661,3.0
704,2.84
689,2.89
680,2.93
682,2.91
665,3.0
677,2.94
667,2.97
662,3.02
696,2.87
662,3.0
680,2.93
675,2.95
676,2.95
686,2.9
668,2.98
664,3.0
683,2.92
669,2.98
631,3.15
661,3.01
659,3.02
681,2.93
681,2.94
624,2.97
653,3.26
682,2.92
681,2.93
659,3.02
705,2.83
685,2.91
676,2.95
692,2.88
687,2.9
695,2.87
693,2.87
681,2.93
692,2.88
670,2.97
665,2.99
688,2.9
686,2.9
675,2.95
689,2.89
689,2.89
677,2.95
698,2.86
669,2.98
663,2.99
