Throughput,Latency
5308,6.02
5357,5.97
5238,6.08
5251,6.09
5496,5.84
5577,5.74
5148,6.21
5328,5.98
5054,6.33
5117,6.29
5466,5.86
5386,5.92
5402,5.9
5365,6.01
5141,6.21
5253,6.07
5277,6.04
5284,6.09
5285,6.04
5378,5.92
5620,5.72
5134,6.24
4943,6.46
5143,6.22
5493,5.81
5180,6.2
5376,5.94
5430,5.9
5138,6.22
5250,6.05
5502,5.83
5714,5.62
5492,5.81
5201,6.15
5423,5.91
5552,5.78
5466,5.84
5554,5.77
5638,5.66
5367,5.95
5411,5.92
5578,5.74
5523,5.79
5424,5.91
5357,5.96
5673,5.63
5362,5.94
5586,5.74
5758,5.56
5927,5.39
5354,5.98
5415,5.91
5655,5.63
5409,5.93
4791,6.67
5710,5.62
5485,5.79
5636,5.7
6049,5.31
5554,5.75
5253,6.05
5280,6.1
5481,5.8
5677,5.66
5416,5.91
5508,5.8
5132,6.2
5194,6.17
5087,6.27
5022,6.38
5348,6.0
5231,6.12
5543,5.77
5395,5.89
5672,5.66
5538,5.77
5225,6.13
5238,6.11
5285,6.04
5346,5.98
