Throughput,Latency
1659,2.41
1710,2.33
1616,2.47
1609,2.48
1677,2.38
1655,2.41
1537,2.6
1594,2.5
1564,2.55
1573,2.54
1677,2.38
1591,2.51
1656,2.41
1624,2.46
1667,2.39
1648,2.43
1604,2.49
1523,2.62
1545,2.58
1618,2.47
1571,2.54
1559,2.56
1617,2.47
1711,2.33
1589,2.52
1665,2.4
1617,2.47
1707,2.34
1604,2.48
1575,2.54
1580,2.52
1589,2.51
1577,2.53
1505,2.66
1572,2.54
1592,2.51
1579,2.53
1579,2.53
1571,2.54
1593,2.51
1601,2.49
1583,2.52
1539,2.59
1527,2.61
1468,2.72
1563,2.56
1577,2.53
1456,2.74
1304,3.07
1475,2.7
1579,2.53
1565,2.55
1585,2.52
1543,2.58
1597,2.51
1609,2.48
1635,2.44
1635,2.44
1630,2.45
1567,2.53
1602,2.5
1508,2.65
1529,2.61
1497,2.67
1615,2.48
1587,2.51
1599,2.5
1561,2.55
1573,2.54
1623,2.46
1623,2.46
1591,2.51
1585,2.52
1542,2.59
1597,2.5
1637,2.43
1669,2.41
1613,2.46
1627,2.46
1491,2.68
