Throughput,Latency
2530,3.16
2582,3.1
2532,3.15
2620,3.05
2504,3.19
2446,3.26
2476,3.23
2485,3.21
2413,3.15
2584,3.24
2592,3.09
2527,3.15
2651,3.01
2684,2.98
2588,3.09
2562,3.12
2544,3.14
2543,3.14
2626,3.04
2587,3.08
2583,3.09
2694,2.96
2560,3.12
2578,3.1
2505,3.18
2608,3.07
2695,2.96
2704,2.95
2742,2.91
2695,2.97
2673,2.99
2715,2.94
2642,3.02
2662,3.0
2645,3.02
2685,2.97
2546,3.14
2454,3.17
2493,3.28
2712,2.94
2604,3.07
2697,2.95
2497,3.21
2637,3.02
2536,3.15
2545,3.14
2653,3.01
2439,3.27
2634,3.04
2625,3.04
2608,3.06
2511,3.18
2467,3.24
2659,3.0
2658,3.01
2561,3.12
2719,2.93
2732,2.93
2506,3.18
2647,3.02
2572,3.11
2650,3.01
2633,3.03
2690,2.97
2773,2.88
2830,2.82
2737,2.92
2661,3.0
2532,3.15
2694,2.97
2650,3.01
2683,2.98
2600,3.07
2669,2.99
2739,2.89
2641,3.04
2721,2.94
2600,3.07
2595,3.06
2676,3.0
