Throughput,Latency
7321,4.36
7499,4.25
7452,4.29
7343,4.37
7490,4.27
7350,4.35
7168,4.46
7366,4.34
7124,4.49
7300,4.38
6810,4.68
7065,4.55
7333,4.36
6827,4.68
7176,4.46
7122,4.48
7130,4.48
7012,4.56
7170,4.46
7137,4.48
7163,4.47
7019,4.56
6663,4.79
7173,4.45
7091,4.51
6922,4.61
6985,4.58
7040,4.54
6818,4.68
6725,4.76
7170,4.46
6959,4.59
7215,4.43
7140,4.47
7234,4.43
7190,4.44
6854,4.65
7076,4.53
7353,4.35
7229,4.43
7284,4.39
7265,4.39
7631,4.2
6982,4.58
7272,4.39
7207,4.43
6963,4.59
7427,4.3
7122,4.49
6821,4.68
7057,4.53
7745,4.12
7446,4.3
7248,4.41
7074,4.52
7120,4.49
7179,4.45
7202,4.44
6619,4.83
7205,4.43
6958,4.6
7223,4.43
7246,4.41
7281,4.39
6725,4.75
7297,4.38
6875,4.65
7171,4.43
7377,4.36
7151,4.48
7023,4.55
7224,4.42
7358,4.34
7574,4.22
6853,4.66
7081,4.52
7410,4.32
7440,4.29
7492,4.27
7476,4.27
