Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,927.825,35.0095014228,34.51925,1.33651424102
1,1,2,1116.7375,36.3101073037,28.665125,0.981918805777
1,1,Total,2044.5625,62.5538438953,31.5921875,1.00958157887
1,2,1,934.4875,37.2031691008,34.28275,1.40540725662
1,2,2,1126.1625,34.3446580704,28.4235,0.952451998857
1,2,Total,2060.65,63.643011489,31.353125,1.05303430618
1,3,1,917.775,37.3424030198,34.904125,1.46819849463
1,3,2,1106.7875,32.6266543787,28.915375,0.886195029182
1,3,Total,2024.5625,59.7557991995,31.90975,1.01000466849
1,Total,Total,6129.775,182.373797182,31.6183541667,1.00730072292
2,1,1,933.1375,37.8580773282,34.327375,1.38975614267
2,1,2,1117.0375,31.1079963467,28.648125,0.792028470512
2,1,Total,2050.175,59.3041452646,31.48775,0.936218795427
2,2,1,941.3875,36.5095769472,34.02025,1.34272816462
2,2,2,1126.9625,30.2493618512,28.397125,0.80791212981
2,2,Total,2068.35,56.5470790749,31.2086875,0.907460200247
2,3,1,924.3875,36.4884215206,34.654,1.42184102442
2,3,2,1107.175,30.027318785,28.902875,0.810241710693
2,3,Total,2031.5625,56.8094402366,31.7784375,0.959203121844
2,Total,Total,6150.0875,165.367423188,31.491625,0.906414241628
3,1,1,937.3375,41.6978109343,34.187125,1.59865702637
3,1,2,1123.6375,24.3171261991,28.47375,0.625820726949
3,1,Total,2060.975,59.6871538031,31.3304375,1.01874618699
3,2,1,944.025,36.9902399033,33.9245,1.37458016605
3,2,2,1134.225,25.2726774966,28.210375,0.62476819752
3,2,Total,2078.25,55.3320242842,31.0674375,0.897318436115
3,3,1,927.4125,37.4266180747,34.54,1.41921978922
3,3,2,1114.6625,25.4960626149,28.704,0.652540507497
3,3,Total,2042.075,56.5532738647,31.622,0.937759786791
3,Total,Total,6181.3,166.390070906,31.3399583333,0.917920430466
Total,Total,Total,6153.72083333,91.3474910298,31.4833125,0.51493037689
