Throughput,Latency
10342,3.09
10152,3.16
11090,2.88
11781,2.71
11668,2.74
10391,3.07
11444,2.8
11285,2.83
12055,2.65
10566,3.03
10150,3.15
9977,3.2
11001,2.91
11728,2.74
10735,2.97
10462,3.06
11222,2.84
11800,2.71
12031,2.65
12056,2.66
11981,2.67
11776,2.7
11781,2.71
11361,2.83
12198,2.61
11050,2.9
10888,2.92
11000,2.92
10354,3.06
10391,3.08
10079,3.17
9994,3.19
10260,3.11
10919,2.94
7308,4.37
11049,2.89
10225,3.11
9776,3.28
10523,3.04
11976,2.67
11506,2.78
11526,2.76
10266,3.12
11895,2.69
12178,2.62
11967,2.65
11706,2.76
11878,2.69
10217,3.13
7831,4.05
10571,3.04
10109,3.15
11740,2.73
11778,2.71
10556,3.03
11679,2.72
11722,2.74
10362,3.08
10060,3.16
10176,3.15
9746,3.28
10095,3.16
10184,3.13
10992,2.89
12219,2.63
11957,2.67
11157,2.86
9502,3.36
10746,2.97
9410,3.4
10193,3.12
10888,2.93
10010,3.21
10044,3.18
10110,3.13
11057,2.91
9440,3.37
10891,2.94
10454,3.06
10710,2.98
