Operation,Sharded,Workers,Clients,Machine type,Average CPU usage,Std CPU usage,Average Network receive,Std Network receive,Average Network write,Std Network write
1:0,false,8,2,mw,6.075,0.8653755394,2419316.66667,58963.5254009,6192620.83333,150961.978557
1:0,false,8,2,client,5.55972222222,0.945861227389,86730.5555556,14086.3629511,1314733.33333,213552.471545
1:0,false,8,2,server,12.0305555556,2.05457459392,3943827.77778,640367.791379,260080.555556,42227.3628339
1:0,false,8,4,mw,7.95833333333,0.584312018068,3907033.33333,78199.9375901,9900193.75,228301.581524
1:0,false,8,4,client,7.76805555556,1.28889783085,139823.611111,22676.8729521,2120468.05556,343918.195013
1:0,false,8,4,server,15.9694444444,2.67129082195,6361509.72222,1033447.52158,419455.555556,68138.306073
1:0,false,8,8,mw,7.44375,0.5893712531,4046235.41667,90988.7270407,10205377.0833,210934.078503
1:0,false,8,8,client,7.82916666667,1.29431224161,144923.611111,23512.1378498,2197322.22222,356518.907487
1:0,false,8,8,server,16.3791666667,3.93598938309,6589512.5,1072260.57567,434519.444444,70704.1775537
1:0,false,8,16,mw,7.63958333333,0.526675045332,4044552.08333,68211.1833726,10190156.25,164623.927523
1:0,false,8,16,client,8.14166666667,1.72721475896,144686.111111,23466.1065694,2193461.11111,355868.285948
1:0,false,8,16,server,15.1680555556,2.527794779,6578936.11111,1065614.58661,433805.555556,70265.7948012
1:0,false,8,24,mw,7.7,0.634453816735,4051327.08333,68983.4130971,10198231.25,169743.318865
1:0,false,8,24,client,8.04027777778,1.35360166186,145436.111111,23545.0562741,2197993.05556,356455.15386
1:0,false,8,24,server,14.8944444444,2.47095330826,6594456.94444,1068865.44605,434825.0,70476.4416299
1:0,false,8,32,mw,7.63958333333,0.5145176144,4037075.0,53697.4379115,10195787.5,123395.835956
1:0,false,8,32,client,8.12777777778,1.34861148228,151050.0,24380.0128981,2192719.44444,354888.304536
1:0,false,8,32,server,15.8,3.73121800631,6576068.05556,1063571.59576,433620.833333,70131.8355201
1:0,false,8,40,mw,7.8,0.508990893787,4047531.25,71516.8638151,10273925.0,165234.617537
1:0,false,8,40,client,8.47083333333,1.42173468151,197598.611111,32012.5409759,2195338.88889,355802.110761
1:0,false,8,40,server,15.0375,2.4899826654,6585604.16667,1067562.45157,434230.555556,70386.4042668
1:0,false,8,48,mw,7.89583333333,0.621562275599,4041472.91667,72414.5184202,10330539.5833,175905.705792
1:0,false,8,48,client,8.73055555556,1.46264365355,254370.833333,41123.805178,2193772.22222,355462.802556
1:0,false,8,48,server,15.1166666667,2.51589104828,6581356.94444,1067743.9025,433961.111111,70407.9757146
1:0,false,8,56,mw,7.80833333333,0.506011679679,4003212.5,65875.5804998,10287375.0,171670.833795
1:0,false,8,56,client,10.1944444444,3.27489801743,271300.0,43884.3484272,2175755.55556,351995.483729
1:0,false,8,56,server,14.8472222222,2.44529936463,6523698.61111,1055907.45621,430161.111111,69624.4943543
1:0,false,16,2,mw,6.17916666667,0.668654736107,2352822.91667,58862.8369608,6022570.83333,150697.267754
1:0,false,16,2,client,5.51805555556,0.945943833373,84344.4444444,13691.8124812,1278479.16667,207537.386298
1:0,false,16,2,server,11.9916666667,2.04434163198,3835272.22222,625938.47426,252916.666667,41282.3646398
1:0,false,16,4,mw,12.6395833333,0.670056649997,4440329.16667,82625.1638663,11122787.5,223207.784748
1:0,false,16,4,client,8.11944444444,1.37780670084,155123.611111,26472.5647611,2352150.0,401448.336684
1:0,false,16,4,server,17.4041666667,2.94340234458,7053827.77778,1195616.13887,465138.888889,78838.6966178
1:0,false,16,8,mw,13.7958333333,0.442133142722,6023258.33333,155676.82838,15045833.3333,423446.943126
1:0,false,16,8,client,10.8444444444,1.782833879,215475.0,35035.2621913,3267190.27778,531375.59345
1:0,false,16,8,server,21.7430555556,3.57574234935,9657779.16667,1567182.78284,646090.277778,105360.813909
1:0,false,16,16,mw,12.9625,0.381512829904,6779858.33333,119017.266709,16950000.0,333755.007548
1:0,false,16,16,client,11.9916666667,1.97307829918,242680.555556,39303.3902531,3678872.22222,595822.103822
1:0,false,16,16,server,23.0180555556,3.81267261848,10788762.5,1755977.55034,727884.722222,117961.464705
1:0,false,16,24,mw,13.10625,0.425326671839,6681343.75,128860.663374,16687500.0,367810.834705
1:0,false,16,24,client,12.0916666667,1.98169265977,239456.944444,38823.2638724,3627391.66667,588225.114318
1:0,false,16,24,server,22.3736111111,3.66102552675,10650000.0,1733818.31724,717515.277778,116433.00188
1:0,false,16,32,mw,13.1895833333,0.433920204672,6711583.33333,128461.54481,16781250.0,344326.887747
1:0,false,16,32,client,12.0916666667,1.99458361741,240747.222222,39023.099634,3644047.22222,590906.9788
1:0,false,16,32,server,22.7666666667,3.74860916021,10668612.5,1736472.29265,720827.777778,116929.797567
1:0,false,16,40,mw,13.3145833333,1.13597165916,6622272.91667,152331.214944,16533377.0833,397114.254572
1:0,false,16,40,client,12.0652777778,1.98460190217,237988.888889,38693.1970028,3594486.11111,585565.516419
1:0,false,16,40,server,22.0902777778,3.64064386879,10561304.1667,1723893.87677,710915.277778,115703.879766
1:0,false,16,48,mw,13.14375,0.550376261784,6689595.83333,144776.868366,16758333.3333,403831.85706
1:0,false,16,48,client,12.1055555556,1.98122930863,243379.166667,39462.7726034,3632070.83333,590045.34598
1:0,false,16,48,server,22.6222222222,4.02378457663,10662125.0,1742548.22894,718554.166667,116822.570125
1:0,false,16,56,mw,13.06875,0.417357023026,6907018.75,149392.261565,17300000.0,376339.61381
1:0,false,16,56,client,12.7069444444,2.08119627851,264872.222222,42840.9842286,3749561.11111,608951.425048
1:0,false,16,56,server,23.2361111111,3.8390568576,10940277.7778,1785491.68126,741662.5,120546.400767
1:0,false,32,2,mw,6.41041666667,0.525003348727,2429389.58333,47122.4572803,6224508.33333,119263.943065
1:0,false,32,2,client,5.60972222222,0.943139455823,86943.0555556,14147.7811158,1318400.0,214561.79834
1:0,false,32,2,server,12.5013888889,2.09129000985,3959075.0,642956.275283,260823.611111,42369.2483942
1:0,false,32,4,mw,10.7041666667,0.677120049313,4606579.16667,111642.14094,11557700.0,287265.390608
1:0,false,32,4,client,8.59722222222,1.4196591488,164930.555556,26702.6033932,2500791.66667,404903.245269
1:0,false,32,4,server,18.5625,3.07093527446,7501744.44444,1222302.4604,494619.444444,80589.9325746
1:0,false,32,8,mw,16.00625,0.470989434935,6527022.91667,137931.518873,16295833.3333,356746.313912
1:0,false,32,8,client,10.7319444444,1.76451573632,233772.222222,37982.2912159,3544597.22222,575925.611388
1:0,false,32,8,server,23.4861111111,3.89277984975,10404890.2778,1696166.5381,701084.722222,113909.485625
1:0,false,32,16,mw,18.0354166667,0.629610281755,8025541.66667,120258.653791,20068750.0,327688.222289
1:0,false,32,16,client,13.2513888889,2.16723413897,287245.833333,46519.7160344,4354673.61111,705387.398667
1:0,false,32,16,server,29.9166666667,4.96628734585,12755555.5556,2068403.60746,861218.055556,139407.121429
1:0,false,32,24,mw,17.4916666667,0.727643828731,8382245.83333,129015.947114,20979166.6667,337916.799986
1:0,false,32,24,client,14.4111111111,2.34455142703,299970.833333,48571.5140918,4545641.66667,736223.186325
1:0,false,32,24,server,31.8027777778,5.32873028624,13345833.3333,2166170.28827,899369.444444,145575.365864
1:0,false,32,32,mw,17.49375,0.631144201283,8447654.16667,229981.405986,21108943.75,585869.674611
1:0,false,32,32,client,14.5166666667,2.36437723961,303377.777778,49103.6346143,4594306.94444,743917.098365
1:0,false,32,32,server,32.0180555556,5.31517783415,13443055.5556,2185812.39459,908437.5,147338.847041
1:0,false,32,40,mw,17.4145833333,0.792898220394,8493191.66667,139026.090854,21245833.3333,359691.030095
