Operation,Sharded,Workers,Clients,Machine type,Average CPU usage,Std CPU usage,Average Network receive,Std Network receive,Average Network write,Std Network write
1:0,false,32,40,client,14.8902777778,2.6741861721,304605.555556,49357.6773099,4608800.0,747149.849187
1:0,false,32,40,server,32.0527777778,5.35103061815,13519444.4444,2194466.25352,911901.388889,147782.486726
1:0,false,32,48,mw,17.8520833333,0.644130564597,8574681.25,126372.029059,21431250.0,334064.335584
1:0,false,32,48,client,14.7875,2.40696193902,307944.444444,49792.7946005,4652066.66667,752618.986081
1:0,false,32,48,server,30.7333333333,5.10357176466,13620833.3333,2209081.66517,920197.222222,148872.230711
1:0,false,32,56,mw,17.65625,0.802310197244,8364929.16667,156842.216429,20895833.3333,417088.39417
1:0,false,32,56,client,14.5277777778,2.38100127202,302083.333333,48927.23691,4537555.55556,736264.741339
1:0,false,32,56,server,30.3888888889,5.02548591414,13301388.8889,2166689.65692,897658.333333,145577.906804
1:0,false,64,2,mw,6.62083333333,0.686403517641,2414793.75,48639.6393634,6272743.75,113644.945596
1:0,false,64,2,client,5.65972222222,0.943694374112,86522.2222222,14063.1309395,1311702.77778,213183.855842
1:0,false,64,2,server,13.1486111111,2.18326927181,3994236.11111,647317.889835,259477.777778,42109.3739552
1:0,false,64,4,mw,10.84375,0.511020427808,4558200.0,112864.4165,11496489.5833,310206.396905
1:0,false,64,4,client,8.53055555556,1.42872272768,163122.222222,26610.1992392,2473625.0,403515.746228
1:0,false,64,4,server,18.8902777778,3.09925880517,7444202.77778,1214001.31826,489315.277778,79840.7863331
1:0,false,64,8,mw,16.4875,0.533527786281,6423083.33333,116904.423198,16079166.6667,301163.939917
1:0,false,64,8,client,10.6694444444,1.7486158659,229848.611111,37240.8406686,3485334.72222,564746.361133
1:0,false,64,8,server,23.9083333333,3.92362525357,10217438.8889,1671096.13512,689459.722222,111867.006498
1:0,false,64,16,mw,20.55625,0.482422209757,8362889.58333,150519.739382,20916666.6667,384290.677606
1:0,false,64,16,client,12.6569444444,2.06407696962,299456.944444,48454.8111908,4539530.55556,734671.711386
1:0,false,64,16,server,32.0111111111,5.35431876983,13322222.2222,2164409.73007,898048.611111,145571.411129
1:0,false,64,24,mw,27.8416666667,1.52519856446,8465855.12292,746263.865737,21239808.5813,1878211.48467
1:0,false,64,24,client,13.3222222222,2.75955202228,304112.5,56211.3905104,4607863.88889,852364.110369
1:0,false,64,24,server,34.0,6.54764833379,13525637.5,2494638.49763,911712.5,168863.96912
1:0,false,64,32,mw,38.21875,1.32767622413,8889064.85833,558219.160395,22272889.8083,1412043.71446
1:0,false,64,32,client,14.5444444444,2.48600395388,318811.111111,55173.3020996,4823304.16667,835574.893682
1:0,false,64,32,server,35.8222222222,6.7259808627,14158561.1111,2461379.64081,954287.5,165537.814862
1:0,false,64,40,mw,32.1583333333,2.33120759106,9562704.16667,161097.916375,24110416.6667,453881.331418
1:0,false,64,40,client,16.6097222222,3.03013946784,346280.555556,55966.3238299,5237397.22222,846896.445959
1:0,false,64,40,server,40.8916666667,6.84791076581,15344444.4444,2487889.08993,1036150.0,167772.633466
1:0,false,64,48,mw,24.6854166667,1.69366191495,9810839.58333,169261.306577,24797916.6667,396622.298338
1:0,false,64,48,client,16.7069444444,2.72545625801,356370.833333,57651.0048778,5387083.33333,872102.31978
1:0,false,64,48,server,44.7652777778,7.49203867181,15738888.8889,2551553.15517,1065444.44444,172477.910103
1:0,false,64,56,mw,20.9708333333,0.78835360497,9916814.58333,169791.406306,25066666.6667,360301.483387
1:0,false,64,56,client,16.9138888889,2.75481223811,360381.944444,58247.2269015,5439101.38889,879936.902864
1:0,false,64,56,server,45.9791666667,7.60674094562,15913888.8889,2581321.52506,1075865.27778,173986.742838
