THROUGHPUT_WRITES


Operation,Sharded,Workers,Clients,Average Throughput (client),Std Throughtput (client),Average Latency (client),Std Latency (client),Average Throughput (mw),Std Throughput (mw),Average Latency (mw),Std Latency (mw),Average Queue Length (mw),Std Queue Length (mw),Average Queue Time (mw),Std Queue Time (mw),Average Server Time (mw),Std Server Time (mw),Hits/Throughput (mw),,Std Throughput across reps (clients),Std Latency across reps (clients),Std Throughtput across reps (mw),Std Latency across reps (mw)
1:0,false,8,2,3685.17916667,75.5454975802,3.28781944444,0.0759230727684,3714.35833333,83.7315510675,2.49159352083,0.0588796642605,0.000177083333333,0.000268275408482,0.0886875625,0.0103931483602,2.37647245833,0.0524371648113,1.0,,16.8841472122,0.0150643632646,15.2461180168,0.0136932351116
1:0,false,8,4,5946.29166667,105.254475302,4.07313888889,0.0767743236057,5998.8125,118.81918852,3.1186719375,0.0663276217727,0.00205,0.000632233110528,0.631140604167,0.0240873188565,2.46100085417,0.0431131143168,1.0,,29.5392782297,0.0205316313913,32.1872427174,0.0130570326392
1:0,false,8,8,6167.75,115.394102427,7.8464375,0.151485964018,6218.02083333,127.898422949,6.73975804167,0.148188090535,0.0129375,0.00132549781005,4.18841775,0.094512987352,2.52598804167,0.0548961482134,1.0,,24.6545539657,0.0284506379908,23.841538506,0.0196569699992
1:0,false,8,16,6154.6875,105.261008976,15.7437847222,0.282195795602,6207.66666667,103.224987435,14.44275725,0.250765259293,0.0373104166667,0.00117095166977,11.8831908542,0.207938016535,2.53346966667,0.0430325563278,1.0,,48.9260970112,0.123568874084,41.9291093196,0.113816161366
1:0,false,8,24,6162.05,102.796675041,23.5981180556,0.428432011941,6212.94583333,114.445221405,22.1058939375,0.442139645616,0.0611583333333,0.00128413997335,19.5478309792,0.391301999831,2.53149991667,0.0505187251987,1.0,,3.3143391121,0.0110815775412,7.27727985468,0.0166989484971
1:0,false,8,32,6153.72083333,91.3474910298,31.4833125,0.51493037689,6198.5375,87.3687642522,29.8206174167,0.454236231843,0.0851708333333,0.00133490808904,27.2606911458,0.414820893627,2.5334413125,0.039352363553,1.0,,25.9539445862,0.139383941886,27.1187579223,0.132903016044
1:0,false,8,40,6163.72083333,99.5845299436,39.3050138889,0.661577138249,6217.82083333,108.587931194,37.4390856875,0.698114444689,0.10894375,0.00161783827006,34.8825857708,0.650271497582,2.53015222917,0.0481798532181,1.0,,15.4394499443,0.118834825905,23.8021280999,0.116800309433
1:0,false,8,48,6156.3875,96.2030413149,47.2374652778,0.776342929274,6202.59166667,113.549396613,45.2003448958,0.895154205039,0.132875,0.00117657038131,42.639783375,0.844434992684,2.53402,0.0508464670659,1.0,,60.7591286866,0.486753027425,60.3636018399,0.469386337713
1:0,false,8,56,6104.19583333,84.8979314993,55.5494166667,0.816344817795,6155.1375,97.1519275611,53.3033161667,0.907971361551,0.157047916667,0.00112951508396,50.7228069375,0.863717082002,2.55431389583,0.0440230605876,1.0,,14.3579808672,0.108199089501,17.4302180136,0.109105712662
1:0,false,16,2,3588.15416667,64.7473493747,3.37120138889,0.0645326185041,3621.56666667,74.9447503953,2.57178091667,0.0554391402702,0.000160416666667,0.000233369120221,0.0899352916667,0.0102447967507,2.45389758333,0.0490713838605,1.0,,139.89708066,0.117403632785,138.916465644,0.11296731443
1:0,false,16,4,6605.85416667,346.312127386,3.62795281583,0.195640476719,6648.52083333,343.555836483,2.93765024775,2.24893923838,0.00048125,0.000473632274709,0.137681081081,0.0154567686957,2.77062322072,2.24870625819,1.0,,237.523302256,0.0713052188886,256.378719602,0.469797777477
1:0,false,16,8,9169.3,194.435304105,5.25870138889,0.120845201052,9249.22083333,225.296528738,3.8815321875,0.0933733122312,0.00344791666667,0.00141062717346,0.734763833333,0.0290007842362,3.11257445833,0.0675328599955,1.0,,75.6132966151,0.0411630466816,74.0513655484,0.0259131814062
1:0,false,16,16,10327.9,159.534893608,9.36447916667,0.151918047542,10412.3041667,175.762235461,7.926213375,0.128638256819,0.0256791666667,0.00182126349089,4.8827066875,0.0782535815308,3.01297502083,0.0527550409097,1.0,,418.974206209,0.342880757665,409.562700163,0.272278911462
1:0,false,16,24,10177.9083333,181.826689673,14.2072152778,0.250109422744,10259.3041667,202.238292235,12.6159234167,0.244472211879,0.0495104166667,0.00214871559941,9.53661685417,0.185604499655,3.04829979167,0.0595912205204,1.0,,210.638044601,0.272422027353,216.227504008,0.212277458742
1:0,false,16,32,10226.4875,185.060365289,18.8836458333,0.352605363848,10320.5833333,206.181064855,17.1959531042,0.35046462819,0.0736520833333,0.00191690857949,14.1252533333,0.287576117954,3.03921564583,0.0634024097491,1.0,,296.713372582,0.500541597764,293.759921464,0.44492614765
1:0,false,16,40,10086.1458333,232.104212031,23.9490972222,1.07831029725,10164.5,229.912360237,22.0199210417,0.489561641397,0.0974625,0.00220199612167,18.9136629167,0.415319442874,3.0725118125,0.0679111232664,1.0,,100.274584215,0.144385732458,118.491764614,0.181623762903
1:0,false,16,48,10200.2833333,205.955685291,28.3941875,0.529538073725,10287.2916667,206.181282292,26.454890875,0.495595767782,0.1213125,0.00216697092963,23.3779927292,0.436993679663,3.04554022917,0.0587341992241,1.0,,331.664295715,0.847415621033,335.25496928,0.771519611254
1:0,false,16,56,10529.3083333,215.007786305,32.2128472222,0.710136409923,10623.7583333,234.370461644,30.2314897083,0.688911680427,0.145258333333,0.00196128133438,27.2387495,0.617444671958,2.96231097917,0.0706334099939,1.0,,27.5649016338,0.0587615101587,36.0773135375,0.0554985178945
1:0,false,32,2,3697.12083333,79.2342082524,3.27750694444,0.0764473817097,3725.71666667,72.0364046893,2.48016747917,0.0511027887924,0.000175,0.000254218971584,0.0904583541667,0.00974984285096,2.36053841667,0.0447913851047,1.0,,16.6460408831,0.0146848007771,17.0934578738,0.0111884201494
1:0,false,32,4,7016.1625,112.467254103,3.46738888889,0.0647707076499,7082.29166667,139.908895161,2.5693213125,0.0565265730969,0.00038125,0.000443894152117,0.127336416667,0.0151097958862,2.412414,0.0461998024694,1.0,,47.0506558801,0.0240174482065,53.3052564442,0.0164961913418
