THROUGHPUT_WRITES


Operation,Sharded,Workers,Clients,Average Throughput (client),Std Throughtput (client),Average Latency (client),Std Latency (client),Average Throughput (mw),Std Throughput (mw),Average Latency (mw),Std Latency (mw),Average Queue Length (mw),Std Queue Length (mw),Average Queue Time (mw),Std Queue Time (mw),Average Server Time (mw),Std Server Time (mw),Hits/Throughput (mw),,Std Throughput across reps (clients),Std Latency across reps (clients),Std Throughtput across reps (mw),Std Latency across reps (mw)
1:0,false,32,8,9936.1875,192.421016684,4.87802083333,0.0979922227967,10030.7833333,210.932095912,3.52173516667,0.0749366741735,0.00131666666667,0.00120873520161,0.264607104167,0.0250445282375,3.22430379167,0.0647235312456,1.0,,93.723628791,0.0344730105258,107.495610618,0.0209616898688
1:0,false,32,16,12232.7208333,183.239634236,7.91917361111,0.126108059399,12332.6166667,190.332177611,5.67307922917,0.121803575693,0.00671458333333,0.00275489511263,1.12835633333,0.0565334367563,4.50728908333,0.0743187648715,1.0,,120.962888377,0.0784544977544,130.095483164,0.0957408392852
1:0,false,32,24,12760.4125,194.897284381,11.3815277778,0.183677818536,12871.1791667,218.703049251,8.92495627083,0.219816465013,0.0259583333333,0.00381060958758,4.0202065625,0.14100407182,4.86602260417,0.0860195677359,1.0,,21.0222649826,0.0456716006749,39.3926157685,0.0823079373122
1:0,false,32,32,12957.0916667,378.211476779,15.0102361111,0.274475544099,12993.2708333,250.200381544,12.4840380833,0.285294693121,0.0497791666667,0.00465646677655,7.599928,0.198370198444,4.8455894375,0.0911257498276,1.0,,76.3384787203,0.0501997759494,24.5810913526,0.0504941932936
1:0,false,32,40,12930.9125,217.613780277,18.7646944444,0.327019587241,13032.9291667,208.495081134,16.1345910208,0.325942427752,0.0747458333333,0.00385733405601,11.2526053125,0.249534697269,4.84267572917,0.0810626872574,1.0,,83.3008891009,0.0836557884967,73.132756355,0.0741969902326
1:0,false,32,48,13060.1333333,181.788424339,22.2333819444,0.335729493505,13175.4,199.141790195,19.4379732083,0.34177879939,0.0976875,0.00445972561958,14.618183125,0.265542462524,4.78163227083,0.0786962833406,1.0,,67.868607357,0.0480005440209,68.0964837106,0.0529260761591
1:0,false,32,56,12729.0791667,245.479061721,26.5665972222,0.547590813594,12834.4166667,252.2653956,23.6092040625,0.534768881118,0.12128125,0.00420079640078,18.6752571667,0.430221883797,4.89397291667,0.1060621038,1.0,,38.0667923141,0.0964818665977,27.6206595383,0.0756331943155
1:0,false,64,2,3679.64583333,76.8498333647,3.29542361111,0.0773847940024,3712.54583333,80.4688658988,2.47944489583,0.0538238035192,0.000160416666667,0.000182658424003,0.0931667291667,0.010483466024,2.35684872917,0.0468238578401,1.0,,28.1173165431,0.0263750685629,27.6284848858,0.0208133799788
1:0,false,64,4,6942.4625,131.392750313,3.50820833333,0.0741320552203,7000.02916667,171.091056548,2.59355391667,0.0676785401994,0.000489583333333,0.000630531081268,0.131245729167,0.0169653022688,2.43220914583,0.0546705245847,1.0,,35.9100242794,0.0193751456118,43.4201500122,0.00879805681056
1:0,false,64,8,9781.3875,157.766000624,4.94846527778,0.0835926225756,9851.5,174.971309684,3.57174379167,0.0621373003263,0.0013375,0.00117641347487,0.269294166667,0.0279081120982,3.268033125,0.0502775881601,1.0,,67.6584990966,0.0318878605149,59.2780115747,0.00774704067752
1:0,false,64,16,12737.7041667,192.554009036,7.66032638889,0.113657691088,12849.0208333,224.991353756,5.480394,0.12336820982,0.00445416666667,0.00330940515006,0.6375208125,0.0511216210937,4.80473097917,0.108657580039,1.0,,46.0533001894,0.0302145276192,56.8824299176,0.0526242160981
1:0,false,64,24,13326.4083333,256.500181498,10.8537569444,0.202975911212,13445.125,286.654294577,7.5437155,0.208398727695,0.00938958333333,0.00737726311554,1.37670097917,0.10690121861,6.12417170833,0.195464298379,1.0,,52.912363178,0.0497974819443,61.3892078769,0.0416627603795
1:0,false,64,32,13860.6416667,261.452250429,13.8852986111,0.269332852669,13990.4333333,291.9640384,9.5771571875,0.299025475821,0.01579375,0.00732605333651,2.24023452083,0.155598767168,7.28825372917,0.200558860067,1.0,,268.028753219,0.270225621312,279.058746429,0.226286540721
1:0,false,64,40,14705.9958333,204.709684272,16.3850694444,0.223390973225,14844.5166667,252.225252062,11.7677236458,0.218773522767,0.0291854166667,0.00805518910729,3.7709960625,0.119787506903,7.951023375,0.135675709613,1.0,,158.018532504,0.144621310623,155.126561401,0.0090043706259
1:0,false,64,48,15110.0125,236.278783845,19.2348680556,0.333067876528,15243.5125,266.112852893,14.6767473125,0.313679016755,0.0508333333333,0.00935128622966,6.4941325625,0.208023939221,8.13885154167,0.130144449677,1.0,,35.1605869547,0.0645590590628,27.1520055659,0.161682433973
1:0,false,64,56,15260.85,214.25470797,22.2287708333,0.315086635972,15421.1375,245.590317237,17.7110465625,0.283471271793,0.0744895833333,0.00894188707205,9.50102160417,0.196306804626,8.16747252083,0.114216605804,1.0,,105.670757101,0.122255721255,101.920010762,0.0468413658103
