Operation,Workers,Clients,Throughput,Latency
read,8,2,850.3875000000374,4.70375000000025
read,8,4,1708.437499999625,4.6811250000005
read,8,8,3095.4083333335,5.1677916666665
read,8,14,3158.237499999375,8.86975
read,8,20,3091.237499999625,12.93941666667125
read,8,26,3164.24583333325,16.4503333333325
read,8,32,3060.08749999975,20.91658333333
read,16,2,866.158333333325,4.61112499999975
read,16,4,1716.79583333275,4.656374999999625
read,16,8,3479.63333333275,4.597041666666625
read,16,14,5793.395833333125,4.83487500000025
read,16,20,6302.529166666875,6.34824999999975
read,16,26,6266.3541666662495,8.3015
read,16,32,6188.479166666375,10.34220833333875
read,32,2,836.891666666675,4.77408333333325
read,32,4,1727.3791666663749,4.627875
read,32,8,3326.4916666662502,4.8230416666665
read,32,14,5653.079166666875,4.952333333332875
read,32,20,7606.562499999875,5.26808333333325
read,32,26,8040.045833333,39.81362500000925
read,32,32,10874.27499999625,5.8914999999995
read,64,2,833.77916666665,4.791708333333625
read,64,4,1671.141666666625,4.78479166666725
read,64,8,3347.579166666875,4.776541666666875
read,64,14,5786.229166666625,4.839666666667125
read,64,20,7704.849999999875,5.192458333333625
read,64,26,9122.520833333125,5.703250000000625
read,64,32,10061.841666667,6.37920833333325
write,8,2,843.774999999975,4.74033333333325
write,8,4,1665.987499999625,4.801041666666875
write,8,8,2928.595833333375,5.46441666666675
write,8,14,3020.508333333625,9.27195833333325
write,8,20,3021.445833332875,13.24308333333375
write,8,26,3017.375000000375,17.2381250000025
write,8,32,2984.433333332875,21.451625
write,16,2,841.633333333325,4.7490833333335
write,16,4,1677.820833333125,4.7666666666665
write,16,8,3322.158333333125,4.8155
write,16,14,5582.716666666625,5.015333333333375
write,16,20,6131.9625,6.523375000000125
write,16,26,6176.1,8.42112500000025
write,16,32,6222.19166666675,10.28666666667
write,32,2,880.41666666665,4.538499999999875
write,32,4,1702.616666666875,4.695916666667
write,32,8,3415.9999999995002,4.683458333333375
write,32,14,5827.033333334,4.80545833333325
write,32,20,7746.683333333375,5.168291666666375
write,32,26,8892.92083333325,5.87008333333325
write,32,32,10950.562500002125,5.868208333334
write,64,2,866.7791666666125,4.611875000000375
write,64,4,1730.966666666,4.618791666666875
write,64,8,3405.616666666125,4.697208333333875
write,64,14,5957.275000000125,4.699958333333375
write,64,20,8058.216666666875,4.969625000000125
write,64,26,9102.370833333125,5.729291666666375
write,64,32,9601.77916666575,6.70054166666675
