Operation,Workers,Clients,Throughput,Latency,Queue time,Queue length
read,8,2,858.1166666666375,2.514175250000625,0.020226083333333752,0.016666666666650003
read,8,4,1720.8583333335,2.511720583333375,0.09583900000001,0.15416666666675
read,8,8,3112.8208333335,2.98965641666675,0.500914041666625,1.4333333333337999
read,8,14,3182.6791666662502,6.624950083333375,4.151688666666749,13.312499999998375
read,8,20,3109.537499999625,10.537077125002499,8.01098970833325,25.37500000000625
read,8,26,3190.575,14.026038041663751,11.55639920833,37.233333333335
read,8,32,3079.633333333125,18.297759249996247,15.7461643749975,49.508333333337504
read,16,2,873.02916666665,2.4704325416665003,0.021713499999998748,0.0333333333333375
read,16,4,1726.0458333335,2.48056029166625,0.08384270833332624,0.175000000000025
read,16,8,3498.6,2.460329291667125,0.149997208333275,0.708333333333125
read,16,14,5834.983333333625,2.67922141666675,0.28712441666667504,1.691666666666425
read,16,20,6334.825,4.111753208333875,1.64784174999975,10.49583333333575
read,16,26,6304.075000000125,5.9889257916670005,3.4981172916668752,22.54166666666375
read,16,32,6219.56666666675,7.947620333333,5.42385604166675,34.4124999999975
read,32,2,842.9458333333375,2.547194375000125,0.02470970833333125,0.0125
read,32,4,1739.687500000125,2.47780320833325,0.1069591666667125,0.2499999999997625
read,32,8,3350.9625,2.59006091666675,0.190745166666625,0.6249999999997375
read,32,14,5695.349999999375,2.6566513750003753,0.22048216666666248,1.479166666666675
read,32,20,7641.89166666625,2.856679000000125,0.27790762500005,2.3625000000001126
read,32,26,8087.575,20.00606020833675,0.8221664999996625,2.7541666666656623
read,32,32,10944.5375,3.31965654166675,0.5594186666667,5.479166666666588
read,64,2,839.23749999995,2.556516916666375,0.02105262500000875,0.0124999999999875
read,64,4,1683.658333333375,2.5583711250000003,0.1149062083333325,0.1541666666666375
read,64,8,3367.3875000005,2.5575317500002503,0.17122145833338748,0.6166666666665875
read,64,14,5804.02499999975,nan,nan,1.48750000000045
read,64,20,7747.737499999875,2.811546666666625,0.28899083333333747,2.612499999999225
read,64,26,9175.462499999625,3.0909116666663747,0.38683854166668746,3.6333333333333377
read,64,32,10114.479166668874,3.478103083333875,0.47804750000002505,5.316666666668725
write,8,2,850.120833333275,2.5241276250003746,0.02067116666667125,0.0
write,8,4,1677.40833333325,2.54849379166625,0.07042366666666876,0.17083333333338752
write,8,8,2943.249999999375,3.133010541666875,0.51466475,0.87916666666705
write,8,14,3041.529166666375,6.9025693750003745,4.317110208332875,13.462500000004125
write,8,20,3035.68749999975,10.781213958335,8.195973666666875,25.53750000000375
write,8,26,3038.445833333375,14.68142987500125,12.092344041665,37.34166666666625
write,8,32,3002.6958333337498,18.745462791665,16.12891591666625,49.14166666667375
write,16,2,846.829166666625,2.5259344166665,0.0209319999999975,0.016666666666650003
write,16,4,1689.66666666675,2.544393083333125,0.0915682083333375,0.24166666666665002
write,16,8,3338.7625,2.5701716666666248,0.14733699999996624,0.5708333333334875
write,16,14,5618.691666667125,2.7800097083335,0.301956,1.7624999999999624
write,16,20,6160.78750000025,4.22671358333325,1.692990374999875,10.558333333333374
write,16,26,6216.870833333625,6.08519591666675,3.557729875,22.45833333333125
write,16,32,6258.404166666625,7.920772041666375,5.411044124999375,33.9708333333325
write,32,2,886.062499999975,2.4305276250000003,0.019200625,0.0
write,32,4,1712.98333333325,2.51609445833375,0.10495500000001376,0.2000000000000125
write,32,8,3432.604166667,2.5202592500001253,0.1530916666666375,0.562500000000075
write,32,14,5868.691666666625,2.5955807083332503,0.22032725,1.6958333333333375
write,32,20,7785.679166666875,2.79429095833325,0.2579465833333125,2.4791666666668877
write,32,26,8945.5499999995,3.205661749999625,0.35571150000005003,3.5874999999988875
write,32,32,11022.374999999125,3.31389954166675,0.57716912499995,6.525000000000262
write,64,2,871.833333333375,2.462932916666375,0.02349887499999375,0.0416666666666625
write,64,4,1742.59999999975,2.48031837500025,0.11271683333336376,0.1125000000000375
write,64,8,3422.174999999625,2.5199821250002503,0.1756260416666625,0.6333333333333125
write,64,14,6001.666666667125,2.535186,0.209686124999975,1.2250000000000374
write,64,20,8103.075,2.7068424583342496,0.26413370833329997,2.4041666666659
write,64,26,9155.758333333375,3.1156949166663748,0.35705362500001253,4.129166666668188
write,64,32,9667.075000002125,3.606884541666875,0.4345766666666,4.087500000000375
