Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1129.65,45.8362799206,56.717125,2.37506465935
1,1,Total,1129.65,45.8362799206,56.717125,2.37506465935
1,2,1,1133.5,52.7393879181,56.54825,2.74337673061
1,2,Total,1133.5,52.7393879181,56.54825,2.74337673061
1,3,1,1125.1375,48.7628577656,56.9525,2.59562265401
1,3,Total,1125.1375,48.7628577656,56.9525,2.59562265401
1,Total,Total,3388.2875,139.761206272,56.7392916667,2.4373046429
2,1,1,1128.6625,50.1519069012,56.777375,2.65279587107
2,1,Total,1128.6625,50.1519069012,56.777375,2.65279587107
2,2,1,1132.475,42.2464064834,56.551625,2.18399207338
2,2,Total,1132.475,42.2464064834,56.551625,2.18399207338
2,3,1,1124.1375,42.0083607561,56.97725,2.14195815712
2,3,Total,1124.1375,42.0083607561,56.97725,2.14195815712
2,Total,Total,3385.275,124.672530549,56.76875,2.14319860165
3,1,1,1124.25,55.8169476554,57.0435,3.23318399325
3,1,Total,1124.25,55.8169476554,57.0435,3.23318399325
3,2,1,1127.775,57.8815847062,56.88025,3.32023713314
3,2,Total,1127.775,57.8815847062,56.88025,3.32023713314
3,3,1,1119.475,60.0436497343,57.279375,3.45493935309
3,3,Total,1119.475,60.0436497343,57.279375,3.45493935309
3,Total,Total,3371.5,170.844958954,57.0677083333,3.29436289591
Total,Total,Total,3381.6875,78.3557350812,56.8585833333,1.45059149631
