Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,3974.05,203.13111685,22.917516125,1.18852248585,1987.0875,0.0,1986.9625,0.0,3974.05,84.5375,2.37040695112,20.93372,1.08247594207,1.9475445,0.104478736422
1,2,4368.125,171.451980582,20.954385375,0.84531016617,2184.0875,0.0,2184.0375,0.0,4368.125,84.6125,3.66817910886,19.151588125,0.774029789287,1.7807755,0.0698064319858
1,Total,8342.175,291.061687098,21.93595075,0.814925424109,4171.175,0.0,4171.0,0.0,8342.175,84.575,2.23337741628,20.0426540625,0.744507058688,1.86416,0.069394206681
2,1,3954.2875,183.397554872,23.01472825,1.0623738105,1977.15,0.0,1977.1375,0.0,3954.2875,84.5,2.61446802198,21.02332675,0.967247340273,1.955396875,0.0947304460113
2,2,4261.425,169.330907779,21.39421775,0.840548869592,2130.6875,0.0,2130.7375,0.0,4261.425,85.0875,2.11201355721,19.5530405,0.768097932172,1.818226125,0.07199438089
2,Total,8215.7125,276.261534211,22.204473,0.756220554544,4107.8375,0.0,4107.875,0.0,8215.7125,84.79375,1.69827490655,20.288183625,0.689709143084,1.8868115,0.0663238468502
3,1,3952.1625,198.025151436,22.967424125,1.19005423952,1976.175,0.0,1975.9875,0.0,3952.1625,84.3125,2.74020118452,20.978319625,1.08450355648,1.953422875,0.105617316632
3,2,4392.7625,125.382780372,20.799986375,0.597661884105,2196.3,0.0,2196.4625,0.0,4392.7625,84.7625,2.06994007129,19.009717125,0.546080215961,1.76875925,0.0517695717964
3,Total,8344.925,274.29623527,21.88370525,0.77907101299,4172.475,0.0,4172.45,0.0,8344.925,84.5375,1.63384883796,19.994018375,0.710961483676,1.8610910625,0.0684004255608
Total,Total,8300.9375,174.738954135,22.008043,0.489834885252,4150.49583333,0.0,4150.44166667,0.0,8300.9375,84.6354166667,1.04642373689,20.1082853542,0.446932852986,1.87068752083,0.0426742244757
