Throughput,Latency
2124,0.47
2203,0.45
2019,0.49
2017,0.49
2138,0.46
2083,0.47
1990,0.5
2253,0.44
2094,0.47
2267,0.44
2253,0.44
1903,0.52
2291,0.43
2249,0.44
2327,0.42
2161,0.46
2170,0.46
2085,0.47
2330,0.42
2028,0.49
2214,0.45
2110,0.47
2236,0.44
2168,0.46
2378,0.42
2408,0.41
2325,0.42
2321,0.43
2074,0.47
2090,0.48
1954,0.51
1966,0.5
2252,0.44
2236,0.44
2038,0.48
1937,0.51
2087,0.47
2046,0.48
2015,0.49
1963,0.5
2309,0.43
2150,0.46
2315,0.43
2048,0.48
2043,0.48
2092,0.47
1824,0.54
1838,0.53
1697,0.58
1935,0.51
2394,0.41
2142,0.46
1893,0.52
2510,0.39
2061,0.48
1871,0.53
2021,0.49
1957,0.5
2625,0.38
2012,0.49
2080,0.48
2122,0.47
2348,0.42
2080,0.47
2265,0.44
2399,0.41
2114,0.46
2167,0.45
2445,0.4
2253,0.44
2152,0.46
2237,0.44
2151,0.46
2126,0.46
1867,0.53
1970,0.5
2079,0.48
2169,0.45
1915,0.52
1879,0.53
