Throughput,Latency
3295,4.86
3256,4.9
3317,4.82
3171,5.05
3309,4.83
3428,4.66
3459,4.63
3173,5.04
3333,4.8
3487,4.58
3503,4.56
3247,4.93
3317,4.83
3217,4.96
3373,4.74
3388,4.72
3152,5.07
3386,4.73
3464,4.61
3290,4.85
3331,4.81
3382,4.71
3433,4.67
3291,4.86
3428,4.67
3274,4.87
3266,4.9
3124,5.12
3365,4.76
3234,4.93
3400,4.71
3182,5.03
3341,4.78
3278,4.86
3475,4.61
3489,4.58
3457,4.62
3397,4.71
3452,4.62
3452,4.63
3473,4.6
3437,4.65
3538,4.53
3458,4.63
3395,4.7
3457,4.63
3408,4.69
3484,4.59
3470,4.6
3426,4.67
3464,4.62
3523,4.54
3505,4.56
3487,4.58
3496,4.57
3482,4.59
3479,4.6
3425,4.66
3457,4.63
3380,4.73
3510,4.55
3444,4.65
3435,4.66
3415,4.67
3416,4.68
3434,4.66
3408,4.69
3316,4.8
3500,4.58
3460,4.62
3453,4.63
3493,4.59
3495,4.58
3387,4.72
3423,4.67
3417,4.67
3426,4.67
3486,4.59
3512,4.55
3504,4.56
