Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,931.025,34.9107270156,68.793875,2.60676310934
1,1,Total,931.025,34.9107270156,68.793875,2.60676310934
1,2,1,935.675,36.2270529727,68.452125,2.72309052539
1,2,Total,935.675,36.2270529727,68.452125,2.72309052539
1,3,1,924.85,36.6506255667,69.26225,2.77094736576
1,3,Total,924.85,36.6506255667,69.26225,2.77094736576
1,Total,Total,2791.55,103.139318339,68.8360833333,2.59280578708
2,1,1,921.925,36.5959031393,69.488,2.80270547412
2,1,Total,921.925,36.5959031393,69.488,2.80270547412
2,2,1,927.3375,35.7816669521,69.08725,2.73296471606
2,2,Total,927.3375,35.7816669521,69.08725,2.73296471606
2,3,1,916.3875,37.8660175462,69.9165,2.87477070082
2,3,Total,916.3875,37.8660175462,69.9165,2.87477070082
2,Total,Total,2765.65,105.70368184,69.49725,2.68762789052
3,1,1,932.2875,33.5597686169,68.7165,2.45604709681
3,1,Total,932.2875,33.5597686169,68.7165,2.45604709681
3,2,1,937.4625,35.2279893576,68.341625,2.60203885188
3,2,Total,937.4625,35.2279893576,68.341625,2.60203885188
3,3,1,926.65,34.4865044234,69.122,2.58279722762
3,3,Total,926.65,34.4865044234,69.122,2.58279722762
3,Total,Total,2796.4,100.232590268,68.7267083333,2.49516429612
Total,Total,Total,2784.53333333,56.2007302584,69.0200138889,1.41254356006
