Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,497.2375,20.1972825281,4.008,0.171703306073
1,1,2,592.075,19.4550927243,3.361625,0.111496650912
1,1,Total,1089.3125,29.7409038323,3.6848125,0.108074176795
1,2,1,515.425,24.5479510089,3.87075,0.199250335514
1,2,2,625.1875,18.894841403,3.185375,0.0985585188889
1,2,Total,1140.6125,33.1347436112,3.5280625,0.117862002955
1,3,1,472.725,24.5392865071,4.2245,0.237752663737
1,3,2,555.475,18.6940557804,3.58325,0.120544912582
1,3,Total,1028.2,31.2407555947,3.903875,0.133558821726
1,Total,Total,3258.125,86.8539258202,3.70558333333,0.111161272081
2,1,1,502.7875,28.0183907732,3.9685,0.242717213171
2,1,2,616.0875,21.9592221335,3.231125,0.116074983949
2,1,Total,1118.875,43.416258694,3.5998125,0.157639718518
2,2,1,522.6375,31.2682326558,3.823125,0.254113468874
2,2,2,652.475,24.7319682428,3.0535,0.116609268581
2,2,Total,1175.1125,47.4477710858,3.4383125,0.159413370288
2,3,1,478.55,25.2906647109,4.17275,0.244959180273
2,3,2,579.8,17.7503075388,3.43325,0.104660693479
2,3,Total,1058.35,31.5671275903,3.803,0.13477266372
2,Total,Total,3352.3375,106.044884663,3.61370833333,0.12724688756
3,1,1,502.5,24.0516322244,3.967125,0.199874604677
3,1,2,622.1625,18.6020576989,3.197625,0.0968130620699
3,1,Total,1124.6625,35.1056069488,3.582375,0.124811186512
3,2,1,523.05,26.7136242678,3.815,0.202390773793
3,2,2,654.3625,19.9373980693,3.04275,0.0932530923911
3,2,Total,1177.4125,38.1156447331,3.428875,0.123698221491
3,3,1,479.1875,22.4612711691,4.164375,0.205499353228
3,3,2,585.825,16.1784158446,3.398625,0.0944101441396
3,3,Total,1065.0125,31.4266249089,3.7815,0.124931373567
3,Total,Total,3367.0875,89.0370700426,3.59758333333,0.10453429642
Total,Total,Total,3325.85,51.2823984247,3.63895833333,0.0613101460863
