Repetition,Client,Subclient,Average Throughput,Std Throughput,Average Latency,Std Latency
1,1,1,1377.9125,69.2559358604,46.54425,2.5501143062
1,1,Total,1377.9125,69.2559358604,46.54425,2.5501143062
1,2,1,1382.925,69.5657006639,46.380375,2.57799914748
1,2,Total,1382.925,69.5657006639,46.380375,2.57799914748
1,3,1,1371.8625,70.7492888098,46.761,2.67316083705
1,3,Total,1371.8625,70.7492888098,46.761,2.67316083705
1,Total,Total,4132.7,208.226835902,46.561875,2.59062704364
2,1,1,1376.975,58.1168563099,46.518625,2.0120829586
2,1,Total,1376.975,58.1168563099,46.518625,2.0120829586
2,2,1,1382.8375,57.4783269556,46.340625,1.99129964796
2,2,Total,1382.8375,57.4783269556,46.340625,1.99129964796
2,3,1,1370.575,60.7421974986,46.757625,2.13160321417
2,3,Total,1370.575,60.7421974986,46.757625,2.13160321417
2,Total,Total,4130.3875,162.292008566,46.5389583333,1.86939407391
3,1,1,1392.15,70.9426760923,46.067375,2.48791089412
3,1,Total,1392.15,70.9426760923,46.067375,2.48791089412
3,2,1,1397.0875,65.7140321316,45.893375,2.28090363159
3,2,Total,1397.0875,65.7140321316,45.893375,2.28090363159
3,3,1,1385.975,63.4443791088,46.2475,2.27225004196
3,3,Total,1385.975,63.4443791088,46.2475,2.27225004196
3,Total,Total,4175.2125,196.167952695,46.0694166667,2.29722310046
Total,Total,Total,4146.1,113.227182852,46.3900833333,1.35293339774
