Repetition,Middleware,Average Throughput,Std Throughput,Average Latency,Std Latency,Average Gets,Average Multigets,Average Sets,Average Invalids,Average Hits,Average Queue Length,Std Queue Length,Average Queue Time,Std Queue Time,Average Server Time,Std Server Time
1,1,3156.33333333,398.196025847,2.7743291358,0.345603596148,0.0,0.0,3156.33333333,0.0,3156.33333333,0.000641975308642,0.00171980116565,0.179548765432,0.0526606196883,2.55702098765,0.307795027671
1,2,3899.25925926,454.04599926,2.2632762963,0.265664551999,0.0,0.0,3899.25925926,0.0,3899.25925926,0.000320987654321,0.00111609991145,0.0644401234568,0.0168127747185,2.17879358025,0.255223864839
1,Total,7054.55,835.217774982,2.5179958125,0.300564753092,0.0,0.0,7054.55,0.0,7054.55,0.0004875,0.0010965278919,0.12177725,0.0293035984408,2.36728775,0.279532804374
2,1,3091.43209877,403.81678823,2.81552802469,0.364227132588,0.0,0.0,3091.43209877,0.0,3091.43209877,0.00041975308642,0.00103518352879,0.189358765432,0.0583906096556,2.5879062963,0.318866490245
2,2,3870.81481481,449.373149818,2.27974864198,0.262954444428,0.0,0.0,3870.81481481,0.0,3870.81481481,0.000185185185185,0.000550252467307,0.0670169135802,0.0153368074124,2.19242061728,0.252971682019
2,Total,6962.4375,829.120623735,2.5465405625,0.307159680285,0.0,0.0,6962.4375,0.0,6962.4375,0.00030625,0.00058727944958,0.127694125,0.0309949500355,2.3895618125,0.28313440227
3,1,3154.27160494,401.571849497,2.78008617284,0.350968168484,0.0,0.0,3154.27160494,0.0,3154.27160494,0.000407407407407,0.000984603699183,0.180908888889,0.0523622542964,2.56186333333,0.311207345752
3,2,3812.45679012,452.226548573,2.31263950617,0.273211653146,0.0,0.0,3812.45679012,0.0,3812.45679012,0.000283950617284,0.0012868038691,0.0733127160494,0.016772151622,2.21778185185,0.261430721565
3,Total,6964.75,827.785110928,2.546009875,0.304798426212,0.0,0.0,6964.75,0.0,6964.75,0.00035,0.000824467607273,0.1274218125,0.0287944029288,2.38914175,0.282563802777
