Throughput,Latency
1888,8.42
2019,7.89
2002,8.08
2002,7.97
1968,8.09
2030,7.94
1965,8.13
1986,8.02
1945,8.19
1913,8.33
1968,8.22
1959,8.13
1973,8.07
1976,8.17
1968,8.11
1969,8.09
1904,8.37
1959,8.23
1974,8.09
1857,8.58
1951,8.14
1943,8.23
1909,8.48
1962,8.12
1949,8.16
1969,8.09
2008,7.96
1859,8.7
1941,8.22
1908,8.35
1999,7.97
1912,8.46
1893,8.41
1898,8.38
1861,8.57
1969,8.21
1899,8.39
1976,8.06
1883,8.46
1965,8.21
2000,7.98
1982,8.04
1938,8.24
1870,8.62
1833,8.69
1826,8.72
1886,8.55
1931,8.26
1745,9.15
1837,8.66
1922,8.4
1935,8.25
1876,8.49
1964,8.11
2038,7.91
1980,8.07
1823,8.74
1929,8.26
1929,8.36
1835,8.7
1903,8.37
1963,8.11
1958,8.24
1943,8.21
1908,8.36
1879,8.46
1894,8.52
1925,8.3
1977,8.05
1858,8.57
1819,8.89
1934,8.24
1927,8.27
1893,8.42
1937,8.33
1974,8.09
1842,8.65
1954,8.15
1998,8.09
1952,8.14
