[RUN #1 57%,  51 secs]  2 threads:      100922 ops,    1896 (avg:    1971) ops/sec, 1.95MB/sec (avg: 2.02MB/sec),  8.41 (avg:  8.11) msec latency
[RUN #1 58%,  52 secs]  2 threads:      102853 ops,    1923 (avg:    1970) ops/sec, 1.97MB/sec (avg: 2.02MB/sec),  8.28 (avg:  8.12) msec latency
[RUN #1 59%,  53 secs]  2 threads:      104817 ops,    1956 (avg:    1969) ops/sec, 2.01MB/sec (avg: 2.02MB/sec),  8.25 (avg:  8.12) msec latency
[RUN #1 60%,  54 secs]  2 threads:      106790 ops,    1965 (avg:    1969) ops/sec, 2.02MB/sec (avg: 2.02MB/sec),  8.14 (avg:  8.12) msec latency
[RUN #1 61%,  55 secs]  2 threads:      108762 ops,    1964 (avg:    1969) ops/sec, 2.02MB/sec (avg: 2.02MB/sec),  8.13 (avg:  8.12) msec latency
[RUN #1 62%,  56 secs]  2 threads:      110719 ops,    1949 (avg:    1969) ops/sec, 2.00MB/sec (avg: 2.02MB/sec),  8.20 (avg:  8.12) msec latency
[RUN #1 64%,  57 secs]  2 threads:      112673 ops,    1946 (avg:    1969) ops/sec, 2.00MB/sec (avg: 2.02MB/sec),  8.15 (avg:  8.12) msec latency
[RUN #1 65%,  58 secs]  2 threads:      114650 ops,    1969 (avg:    1969) ops/sec, 2.02MB/sec (avg: 2.02MB/sec),  8.22 (avg:  8.12) msec latency
[RUN #1 66%,  59 secs]  2 threads:      116600 ops,    1942 (avg:    1968) ops/sec, 1.99MB/sec (avg: 2.02MB/sec),  8.20 (avg:  8.12) msec latency
[RUN #1 67%,  60 secs]  2 threads:      118523 ops,    1915 (avg:    1967) ops/sec, 1.97MB/sec (avg: 2.02MB/sec),  8.31 (avg:  8.13) msec latency
[RUN #1 68%,  61 secs]  2 threads:      120546 ops,    2014 (avg:    1968) ops/sec, 2.07MB/sec (avg: 2.02MB/sec),  7.90 (avg:  8.12) msec latency
[RUN #1 69%,  62 secs]  2 threads:      122552 ops,    1997 (avg:    1968) ops/sec, 2.05MB/sec (avg: 2.02MB/sec),  8.10 (avg:  8.12) msec latency
[RUN #1 70%,  63 secs]  2 threads:      124562 ops,    2002 (avg:    1969) ops/sec, 2.05MB/sec (avg: 2.02MB/sec),  7.95 (avg:  8.12) msec latency
[RUN #1 71%,  64 secs]  2 threads:      126551 ops,    1980 (avg:    1969) ops/sec, 2.03MB/sec (avg: 2.02MB/sec),  8.05 (avg:  8.12) msec latency
[RUN #1 73%,  65 secs]  2 threads:      128511 ops,    1952 (avg:    1969) ops/sec, 2.00MB/sec (avg: 2.02MB/sec),  8.26 (avg:  8.12) msec latency
[RUN #1 74%,  66 secs]  2 threads:      130547 ops,    2027 (avg:    1970) ops/sec, 2.08MB/sec (avg: 2.02MB/sec),  7.88 (avg:  8.12) msec latency
[RUN #1 75%,  67 secs]  2 threads:      132575 ops,    2019 (avg:    1970) ops/sec, 2.07MB/sec (avg: 2.02MB/sec),  7.88 (avg:  8.11) msec latency
[RUN #1 76%,  68 secs]  2 threads:      134655 ops,    2063 (avg:    1972) ops/sec, 2.12MB/sec (avg: 2.02MB/sec),  7.79 (avg:  8.11) msec latency
[RUN #1 77%,  69 secs]  2 threads:      136667 ops,    2003 (avg:    1972) ops/sec, 2.06MB/sec (avg: 2.02MB/sec),  7.97 (avg:  8.11) msec latency
[RUN #1 78%,  70 secs]  2 threads:      138616 ops,    1941 (avg:    1972) ops/sec, 1.99MB/sec (avg: 2.02MB/sec),  8.21 (avg:  8.11) msec latency
[RUN #1 79%,  71 secs]  2 threads:      140637 ops,    2012 (avg:    1972) ops/sec, 2.07MB/sec (avg: 2.02MB/sec),  7.91 (avg:  8.10) msec latency
[RUN #1 80%,  72 secs]  2 threads:      142609 ops,    1964 (avg:    1972) ops/sec, 2.02MB/sec (avg: 2.02MB/sec),  8.22 (avg:  8.11) msec latency
[RUN #1 81%,  73 secs]  2 threads:      144558 ops,    1941 (avg:    1972) ops/sec, 1.99MB/sec (avg: 2.02MB/sec),  8.21 (avg:  8.11) msec latency
[RUN #1 83%,  74 secs]  2 threads:      146500 ops,    1934 (avg:    1971) ops/sec, 1.98MB/sec (avg: 2.02MB/sec),  8.26 (avg:  8.11) msec latency
[RUN #1 84%,  75 secs]  2 threads:      148423 ops,    1915 (avg:    1971) ops/sec, 1.97MB/sec (avg: 2.02MB/sec),  8.31 (avg:  8.11) msec latency
[RUN #1 85%,  76 secs]  2 threads:      150387 ops,    1956 (avg:    1970) ops/sec, 2.01MB/sec (avg: 2.02MB/sec),  8.25 (avg:  8.11) msec latency
[RUN #1 86%,  77 secs]  2 threads:      152367 ops,    1972 (avg:    1970) ops/sec, 2.02MB/sec (avg: 2.02MB/sec),  8.10 (avg:  8.11) msec latency
[RUN #1 87%,  78 secs]  2 threads:      154239 ops,    1864 (avg:    1969) ops/sec, 1.91MB/sec (avg: 2.02MB/sec),  8.54 (avg:  8.12) msec latency
[RUN #1 88%,  79 secs]  2 threads:      156199 ops,    1952 (avg:    1969) ops/sec, 2.00MB/sec (avg: 2.02MB/sec),  8.16 (avg:  8.12) msec latency
[RUN #1 89%,  80 secs]  2 threads:      158212 ops,    2004 (avg:    1969) ops/sec, 2.06MB/sec (avg: 2.02MB/sec),  8.05 (avg:  8.12) msec latency
[RUN #1 90%,  81 secs]  2 threads:      160184 ops,    1964 (avg:    1969) ops/sec, 2.02MB/sec (avg: 2.02MB/sec),  8.13 (avg:  8.12) msec latency
[RUN #1 91%,  82 secs]  2 threads:      162129 ops,    1937 (avg:    1969) ops/sec, 1.99MB/sec (avg: 2.02MB/sec),  8.22 (avg:  8.12) msec latency
[RUN #1 93%,  83 secs]  2 threads:      164129 ops,    1992 (avg:    1969) ops/sec, 2.04MB/sec (avg: 2.02MB/sec),  8.00 (avg:  8.12) msec latency
[RUN #1 94%,  84 secs]  2 threads:      166117 ops,    1980 (avg:    1969) ops/sec, 2.03MB/sec (avg: 2.02MB/sec),  8.17 (avg:  8.12) msec latency
[RUN #1 95%,  85 secs]  2 threads:      168069 ops,    1944 (avg:    1969) ops/sec, 1.99MB/sec (avg: 2.02MB/sec),  8.19 (avg:  8.12) msec latency
[RUN #1 96%,  86 secs]  2 threads:      170050 ops,    1973 (avg:    1969) ops/sec, 2.02MB/sec (avg: 2.02MB/sec),  8.08 (avg:  8.12) msec latency
[RUN #1 97%,  87 secs]  2 threads:      172042 ops,    1984 (avg:    1969) ops/sec, 2.04MB/sec (avg: 2.02MB/sec),  8.03 (avg:  8.12) msec latency
[RUN #1 98%,  88 secs]  2 threads:      174025 ops,    1975 (avg:    1969) ops/sec, 2.03MB/sec (avg: 2.02MB/sec),  8.18 (avg:  8.12) msec latency
